,all_locations,location_object,lat_long,quality,api_address
84,W 58th Pl And S Hamlin Ave,"<[OK] Bing - Geocode [W 58th Pl & S Hamlin Ave, Chicago, IL 60629]>","[41.78692, -87.718063]",RoadIntersection,"W 58th Pl & S Hamlin Ave, Chicago, IL 60629"
85,W 106th St And S Green St,"<[OK] Bing - Geocode [W 106th St & S Green St, Chicago, IL 60643]>","[41.701443, -87.643888]",RoadIntersection,"W 106th St & S Green St, Chicago, IL 60643"
86,W 52nd St And S Kedzie Ave,"<[OK] Bing - Geocode [W 52nd St & S Kedzie Ave, Chicago, IL 60632]>","[41.799038, -87.703717]",RoadIntersection,"W 52nd St & S Kedzie Ave, Chicago, IL 60632"
87,W 52nd St And S Albany Ave,"<[OK] Bing - Geocode [W 52nd St & S Albany Ave, Chicago, IL 60632]>","[41.799062, -87.701266]",RoadIntersection,"W 52nd St & S Albany Ave, Chicago, IL 60632"
88,W 18th St And S Wentworth Ave,"<[OK] Bing - Geocode [W 18th St & S Wentworth Ave, Chicago, IL 60616]>","[41.857752, -87.6318983]",RoadIntersection,"W 18th St & S Wentworth Ave, Chicago, IL 60616"
89,W 107th St And S Morgan St,"<[OK] Bing - Geocode [W 107th St & S Morgan St, Chicago, IL 60643]>","[41.699583, -87.647486]",RoadIntersection,"W 107th St & S Morgan St, Chicago, IL 60643"
90,W 52nd St And S Troy St,"<[OK] Bing - Geocode [W 52nd St & S Troy St, Chicago, IL 60632]>","[41.799053, -87.702512]",RoadIntersection,"W 52nd St & S Troy St, Chicago, IL 60632"
91,W 81st Pl And S Kostner Ave,"<[OK] Bing - Geocode [W 81st Pl & S Kostner Ave, Chicago, IL 60652]>","[41.7440317, -87.7311419]",RoadIntersection,"W 81st Pl & S Kostner Ave, Chicago, IL 60652"
92,W Wilcox St And S Hamlin Blvd,"<[OK] Bing - Geocode [W Wilcox St & S Hamlin Blvd, Chicago, IL 60624]>","[41.878948, -87.7206255]",RoadIntersection,"W Wilcox St & S Hamlin Blvd, Chicago, IL 60624"
93,W Ardmore Ave And N Austin Ave,"<[OK] Bing - Geocode [W Ardmore Ave & N Austin Ave, Chicago, IL 60646]>","[41.9865498, -87.7779736]",RoadIntersection,"W Ardmore Ave & N Austin Ave, Chicago, IL 60646"
94,W Argyle St And N Mozart St,"<[OK] Bing - Geocode [W Argyle St & N Mozart St, Chicago, IL 60625]>","[41.972172, -87.700037]",RoadIntersection,"W Argyle St & N Mozart St, Chicago, IL 60625"
95,W Arthur Ave And N Troy St,"<[OK] Bing - Geocode [W Arthur Ave & N Troy St, Chicago, IL 60645]>","[41.999239, -87.708247]",RoadIntersection,"W Arthur Ave & N Troy St, Chicago, IL 60645"
96,W Barry Ave And N Springfield Ave,"<[OK] Bing - Geocode [W Barry Ave & N Springfield Ave, Chicago, IL 60618]>","[41.9373185, -87.7259059]",RoadIntersection,"W Barry Ave & N Springfield Ave, Chicago, IL 60618"
97,W Carmen Ave And N Ravenswood Ave,"<[OK] Bing - Geocode [W Carmen Ave & N Ravenswood Ave, Chicago, IL 60640]>","[41.973816, -87.6743601]",RoadIntersection,"W Carmen Ave & N Ravenswood Ave, Chicago, IL 60640"
98,W Jackson Blvd And S California Ave,"<[OK] Bing - Geocode [W Jackson Blvd & S California Ave, Chicago, IL 60612]>","[41.877461, -87.696199]",RoadIntersection,"W Jackson Blvd & S California Ave, Chicago, IL 60612"
99,W Madison St And N Waller Ave,"<[OK] Bing - Geocode [W Madison St & N Waller Ave, Chicago, IL 60644]>","[41.880259, -87.768081]",RoadIntersection,"W Madison St & N Waller Ave, Chicago, IL 60644"
100,W Palmer St And N Cicero Ave,"<[OK] Bing - Geocode [W Palmer St & N Cicero Ave, Chicago, IL 60639]>","[41.920602, -87.746281]",RoadIntersection,"W Palmer St & N Cicero Ave, Chicago, IL 60639"
101,W Peterson Ave And N Harlem Ave,"<[OK] Bing - Geocode [W Peterson Ave & N Harlem Ave, Chicago, IL 60631]>","[41.9900141, -87.8068995]",RoadIntersection,"W Peterson Ave & N Harlem Ave, Chicago, IL 60631"
102,W Railroad Ave And S Mason Ave,"<[OK] Bing - Geocode [W Railroad Ave & S Mason Ave, Chicago, IL 60644]>","[41.8703549, -87.773096]",RoadIntersection,"W Railroad Ave & S Mason Ave, Chicago, IL 60644"
103,S St. Louis Ave. And W 81st Pl,"<[OK] Bing - Geocode [S Saint Louis Ave & W 81st Pl, Chicago, IL 60652]>","[41.74515, -87.709606]",RoadIntersection,"S Saint Louis Ave & W 81st Pl, Chicago, IL 60652"
104,W 81st St And S Kilpatrick Ave,"<[OK] Bing - Geocode [W 81st St & S Kilpatrick Ave, Chicago, IL 60652]>","[41.7457647, -87.7386949]",RoadIntersection,"W 81st St & S Kilpatrick Ave, Chicago, IL 60652"
105,S St Louis Ave And W 77th St,"<[OK] Bing - Geocode [S Saint Louis Ave, Chicago, IL 60655]>","[41.6825575000003, -87.7078079999715]",RoadBlock,"S Saint Louis Ave, Chicago, IL 60655"
106,S Clark St And W 18th St,"<[OK] Bing - Geocode [S Clark St & W 18th St, Chicago, IL 60616]>","[41.857787, -87.630227]",RoadIntersection,"S Clark St & W 18th St, Chicago, IL 60616"
107,N Keating Ave And W Devon Ave,"<[OK] Bing - Geocode [N Keating Ave & W Devon Ave, Chicago, IL 60646]>","[41.997193, -87.747144]",RoadIntersection,"N Keating Ave & W Devon Ave, Chicago, IL 60646"
108,E 61st St And S Langley Ave,"<[OK] Bing - Geocode [E 61st St & S Langley Ave, Chicago, IL 60637]>","[41.784003, -87.608487]",RoadIntersection,"E 61st St & S Langley Ave, Chicago, IL 60637"
109,E 88th St And S Euclid Ave,"<[OK] Bing - Geocode [E 88th St & S Euclid Ave, Chicago, IL 60617]>","[41.735217, -87.576897]",RoadIntersection,"E 88th St & S Euclid Ave, Chicago, IL 60617"
110,N Bernard St And W Belmont Ave,"<[OK] Bing - Geocode [N Bernard St & W Belmont Ave, Chicago, IL 60618]>","[41.939265, -87.713737]",RoadIntersection,"N Bernard St & W Belmont Ave, Chicago, IL 60618"
111,N Clybourn Ave And W Webster Ave,"<[OK] Bing - Geocode [N Clybourn Ave & W Webster Ave, Chicago, IL 60614]>","[41.921633, -87.664404]",RoadIntersection,"N Clybourn Ave & W Webster Ave, Chicago, IL 60614"
112,N Greenview Ave And W Belmont Ave,"<[OK] Bing - Geocode [N Greenview Ave & W Belmont Ave, Chicago, IL 60657]>","[41.939759, -87.666235]",RoadIntersection,"N Greenview Ave & W Belmont Ave, Chicago, IL 60657"
113,N Harding Ave And W Barry Ave,"<[OK] Bing - Geocode [N Harding Ave & W Barry Ave, Chicago, IL 60618]>","[41.9373185, -87.7259059]",RoadIntersection,"N Harding Ave & W Barry Ave, Chicago, IL 60618"
114,N Oconto Ave And W Peterson Ave,"<[OK] Bing - Geocode [N Oconto Ave & W Peterson Ave, Chicago, IL 60631]>","[41.9899373, -87.8083246]",RoadIntersection,"N Oconto Ave & W Peterson Ave, Chicago, IL 60631"
115,N Springfield Ave And W Belmont Ave,"<[OK] Bing - Geocode [N Springfield Ave & W Belmont Ave, Chicago, IL 60618]>","[41.93914, -87.724744]",RoadIntersection,"N Springfield Ave & W Belmont Ave, Chicago, IL 60618"
116,N Washtenaw Ave And W Argyle St,"<[OK] Bing - Geocode [N Washtenaw Ave & W Argyle St, Chicago, IL 60625]>","[41.972194, -87.696362]",RoadIntersection,"N Washtenaw Ave & W Argyle St, Chicago, IL 60625"
117,S Racine Ave And W 108th St,"<[OK] Bing - Geocode [S Racine Ave & W 108th St, Chicago, IL 60643]>","[41.697694, -87.652272]",RoadIntersection,"S Racine Ave & W 108th St, Chicago, IL 60643"
118,N Washtenaw Ave And W Winona St,"<[OK] Bing - Geocode [N Washtenaw Ave & W Winona St, Chicago, IL 60625]>","[41.9747895, -87.696441]",RoadIntersection,"N Washtenaw Ave & W Winona St, Chicago, IL 60625"
119,S Carpenter St And W 64th St,"<[OK] Bing - Geocode [S Carpenter St & W 64th St, Chicago, IL 60621]>","[41.777835, -87.650815]",RoadIntersection,"S Carpenter St & W 64th St, Chicago, IL 60621"
120,S Constance Ave And E 88th St,"<[OK] Bing - Geocode [S Constance Ave & E 88th St, Chicago, IL 60617]>","[41.73521, -87.57932]",RoadIntersection,"S Constance Ave & E 88th St, Chicago, IL 60617"
121,S Davol St And W Monterey Ave,"<[OK] Bing - Geocode [S Davol St & W Monterey Ave, Chicago, IL 60643]>","[41.689374, -87.662499]",RoadIntersection,"S Davol St & W Monterey Ave, Chicago, IL 60643"
122,S Hamlin Ave And W 66th St,"<[OK] Bing - Geocode [S Hamlin Ave & W 66th St, Chicago, IL 60629]>","[41.773242, -87.717729]",RoadIntersection,"S Hamlin Ave & W 66th St, Chicago, IL 60629"
123,S Hermitage Ave And W 47th St,"<[OK] Bing - Geocode [S Hermitage Ave & W 47th St, Chicago, IL 60609]>","[41.808604, -87.668611]",RoadIntersection,"S Hermitage Ave & W 47th St, Chicago, IL 60609"
124,S Hoyne Ave And W 72nd St,"<[OK] Bing - Geocode [S Hoyne Ave & W 72nd St, Chicago, IL 60636]>","[41.762974, -87.67593]",RoadIntersection,"S Hoyne Ave & W 72nd St, Chicago, IL 60636"
