,Unnamed: 0,location_name,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
58,68,On N Washtenaw Ave From W Carmen Ave To W Winona St,N Washtenaw Ave And W Carmen Ave,N Washtenaw Ave And W Winona St,"[41.9740186, -87.6964149]","[41.9747895, -87.696441]",170310402012,170310402012
59,69,On S Aberdeen St From W 107th St To W 107th Pl,S Aberdeen St And W 107th St,S Aberdeen St And W 107th Pl,"[41.699563, -87.64991]","[41.698637, -87.649885]",170317501002,170317501002
60,70,On S Ashland Ave From W 108th Pl To W 109th Pl,S Ashland Ave And W 108th Pl,S Ashland Ave And W 109th Pl,"[41.696677, -87.661981]","[41.6946078, -87.661905]",170317502001,170317501003
61,71,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,N Leclaire Ave And W Diversey Ave,N Leclaire Ave And W Oakdale Ave,"[41.931449, -87.753968]","[41.934204, -87.754048]",170311902004,170311902003
62,73,On S Damen Ave From W 83rd St To W 82nd St,S Damen Ave And W 83rd St,S Damen Ave And W 82nd St,"[41.742944, -87.672979]","[41.744765, -87.673029]",170317112004,170317112004
63,74,On S Eggleston Ave From W 105th St To W 104th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 104th St,"[41.703395, -87.634229]","[41.705181, -87.634296]",170314911001,170314911001
64,75,On S Green St From W 107th St To W 106th St,S Green St And W 107th St,S Green St And W 106th St,"[41.699629, -87.643833]","[41.701443, -87.643888]",170317501001,170317307001
65,76,On S Hamlin Blvd From W Wilcox St To W Monroe St,S Hamlin Blvd And W Wilcox St,S Hamlin Blvd And W Monroe St,"[41.878944, -87.720751]","[41.879834, -87.720799]",170312705001,170312608001
66,77,On S Hoyne Ave From W 71st Pl To W 73rd St,S Hoyne Ave And W 71st Pl,S Hoyne Ave And W 73rd St,"[41.763863, -87.675957]","[41.761136, -87.6758571]",170316720004,170316720004
67,78,On S Hoyne Ave From W 73rd St To W 72nd Pl,S Hoyne Ave And W 73rd St,S Hoyne Ave And W 72nd Pl,"[41.761136, -87.6758571]","[41.7620324, -87.6758786]",170316720004,170316720004
68,79,On S Karlov Ave From W Polk St To W Lexington St,S Karlov Ave And W Polk St,S Karlov Ave And W Lexington St,"[41.8709134, -87.7277991]","[41.8718042, -87.727842]",170312610002,170312610002
69,80,On S Kildare Ave From W Harrison St To W Flournoy St,S Kildare Ave And W Harrison St,S Kildare Ave And W Flournoy St,"[41.8733499, -87.7327647]","[41.8724564, -87.7327479]",170312606002,170312610001
70,81,On S Mason Ave From W Arthington St To W Roosevelt Rd,S Mason Ave And W Arthington St,S Mason Ave And W Roosevelt Rd,"[41.8691324, -87.7730355]","[41.865493, -87.77285]",170318314002,170318314002
71,82,On S Princeton Ave From W 59th Pl To W 60th Pl,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th Pl,"[41.786347, -87.632804]","[41.784527, -87.632733]",170318346003,170318346003
72,83,On S Central Park Ave From W 75th St To W 78th St,S Central Park Ave And W 75th St,S Central Park Ave And W 78th St,"[41.7568928, -87.7120345]","[41.7514803, -87.7119487]",170317001001,170317001001
73,84,On W 78th Pl From S Kedvale Ave To S Karlov Ave,W 78th Pl And S Kedvale Ave,W 78th Pl And S Karlov Ave,"[41.7500171, -87.7247375]","[41.750114, -87.7241687]",170317002004,170317002004
74,85,On W 73rd St From S Whipple St To S Kedzie Ave,W 73rd St And S Whipple St,W 73rd St And S Kedzie Ave,"[41.7607989, -87.6990261]","[41.760748, -87.702544]",170316611003,170316611003
75,86,On W 58th St From S Peoria St To S Sangamon St,W 58th St And S Peoria St,W 58th St And S Sangamon St,"[41.788804, -87.6474523]","[41.78882, -87.6486432]",170318347002,170318347002
76,87,On W 58th Pl From S Hamlin Ave To S Central Park Ave,W 58th Pl And S Hamlin Ave,W 58th Pl And S Central Park Ave,"[41.78692, -87.718063]","[41.787005, -87.713446]",170316204002,170316204002
77,88,On W 106th St From S Green St To S Peoria St,W 106th St And S Green St,W 106th St And S Peoria St,"[41.701443, -87.643888]","[41.701431, -87.645101]",170317307001,170317307001
78,89,On W 52nd St From S Kedzie Ave To S Troy St,W 52nd St And S Kedzie Ave,W 52nd St And S Troy St,"[41.799038, -87.703717]","[41.799053, -87.702512]",170316303001,170316304004
79,90,On W 52nd St From S Albany Ave To S Whipple St,W 52nd St And S Albany Ave,W 52nd St And S Whipple St,"[41.799062, -87.701266]","[41.79908, -87.700051]",170316304004,170316304004
80,91,On W 18th St From S Wentworth Ave To S Clark St,W 18th St And S Wentworth Ave,W 18th St And S Clark St,"[41.857752, -87.6318983]","[41.857787, -87.630227]",170318411001,170313302002
81,92,On W 107th St From S Morgan St To S Racine Ave,W 107th St And S Morgan St,W 107th St And S Racine Ave,"[41.699583, -87.647486]","[41.699532, -87.652354]",170317501002,170317501002
82,93,On W 52nd St From S Troy St To S Albany Ave,W 52nd St And S Troy St,W 52nd St And S Albany Ave,"[41.799053, -87.702512]","[41.799062, -87.701266]",170316304004,170316304004
83,94,On W 81st Pl From S Kostner Ave To S Kenneth Ave,W 81st Pl And S Kostner Ave,W 81st Pl And S Kenneth Ave,"[41.7440317, -87.7311419]","[41.744916, -87.7329643]",170317003013,170317003013
84,95,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,W Wilcox St And S Hamlin Blvd,W Wilcox St And S Springfield Ave,"[41.878948, -87.7206255]","[41.878911, -87.723152]",170312705001,170312608001
85,96,On W Ardmore Ave From N Austin Ave To N Melvina Ave,W Ardmore Ave And N Austin Ave,W Ardmore Ave And N Melvina Ave,"[41.9865498, -87.7779736]","[41.9864891, -87.7828064]",170311001003,170311001003
86,97,On W Argyle St From N Mozart St To N Francisco Ave,W Argyle St And N Mozart St,W Argyle St And N Francisco Ave,"[41.972172, -87.700037]","[41.972151, -87.701251]",170310403003,170310403003
87,98,On W Arthur Ave From N Troy St To N Albany Ave,W Arthur Ave And N Troy St,W Arthur Ave And N Albany Ave,"[41.999239, -87.708247]","[41.999248, -87.707029]",170310203012,170310206012
88,99,On W Barry Ave From N Springfield Ave To N Davlin Ct,W Barry Ave And N Springfield Ave,W Barry Ave And N Davlin Ct,"[41.9373185, -87.7259059]","[41.936691, -87.724922]",170312105012,170312105012
89,101,On W Jackson Blvd From S California Ave To S Francisco Ave,W Jackson Blvd And S California Ave,W Jackson Blvd And S Francisco Ave,"[41.877461, -87.696199]","[41.877434, -87.698659]",170318370001,170318370001
90,102,On W Madison St From N Waller Ave To N Mason Ave,W Madison St And N Waller Ave,W Madison St And N Mason Ave,"[41.880259, -87.768081]","[41.880172, -87.77319]",170312520002,170312520003
91,103,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,W Palmer St And N Cicero Ave,W Palmer St And N Kilpatrick Ave,"[41.920602, -87.746281]","[41.9206205, -87.7437499]",170311911001,170311910001
92,104,On W Peterson Ave From N Harlem Ave To N Oconto Ave,W Peterson Ave And N Harlem Ave,W Peterson Ave And N Oconto Ave,"[41.9900141, -87.8068995]","[41.9899373, -87.8083246]",170311003006,170311003002
93,105,On W Railroad Ave From S Mason Ave To S Austin Blvd,W Railroad Ave And S Mason Ave,W Railroad Ave And S Austin Blvd,"[41.8703549, -87.773096]","[41.870421, -87.7742081]",170318314002,170318314002
94,106,On W Roscoe St From N Greenview Ave To N Janssen Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Janssen Ave,"[41.943378, -87.666325]","[41.943413, -87.665107]",170310624001,170318319001
95,107,On S St. Louis Ave. From W 81st Pl To W Columbus Ave,S St. Louis Ave. And W 81st Pl,S St. Louis Ave. And W Columbus Ave,"[41.74515, -87.709606]","[41.745012, -87.709608]",170317004011,170317004011
96,108,On W 81st St From S Kilpatrick Ave To S Keating Ave,W 81st St And S Kilpatrick Ave,W 81st St And S Keating Ave,"[41.7457647, -87.7386949]","[41.7456489, -87.7395304]",170317003013,170317003013
97,109,On S St Louis Ave From W 77th St To W 78th St,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St,"[41.753333, -87.709814]","[41.751516, -87.70976]",170317001001,170317001001
98,110,On S Clark St From W 18th St To W 19th St,S Clark St And W 18th St,S Clark St And W 19th St,"[41.857787, -87.630227]","[41.8566043, -87.6301841]",170313302002,170313302002
99,111,On S Princeton Ave From W 59th Pl To W 60th St,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th St,"[41.786347, -87.632804]","[41.785459, -87.63276]",170318346003,170318346003
100,113,On E 61st St From S Langley Ave To S Rhodes Ave,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]",170314205001,170314206002
101,114,On E 88th St From S Euclid Ave To S Bennett Ave,E 88th St And S Euclid Ave,E 88th St And S Bennett Ave,"[41.735217, -87.576897]","[41.735215, -87.578129]",170314801002,170314801002
102,115,On N Bernard St From W Belmont Ave To W Barry Ave,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]",170318311001,170312106013
103,116,On N Clybourn Ave From W Webster Ave To N Greenview Ave,N Clybourn Ave And W Webster Ave,N Clybourn Ave And N Greenview Ave,"[41.921633, -87.664404]","[41.922589, -87.665745]",170318325001,170318325001
104,117,On N Davlin Ct From W Barry Ave To W Wellington Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And W Wellington Ave,"[41.936691, -87.724922]","[41.9354422, -87.72612575]",170312105012,170312105012
105,118,On N Greenview Ave From W Belmont Ave To W Henderson St,N Greenview Ave And W Belmont Ave,N Greenview Ave And W Henderson St,"[41.939759, -87.666235]","[41.942503, -87.666305]",170310624001,170310624001
106,119,On N Harding Ave From W Barry Ave To W Belmont Ave,N Harding Ave And W Barry Ave,N Harding Ave And W Belmont Ave,"[41.9373185, -87.7259059]","[41.939132, -87.725956]",170312105012,170318311003
107,120,On N Oconto Ave From W Peterson Ave To W Thorndale Ave,N Oconto Ave And W Peterson Ave,N Oconto Ave And W Thorndale Ave,"[41.9899373, -87.8083246]","[41.9877644, -87.8083494]",170311003002,170311003002
108,121,On N Springfield Ave From W Belmont Ave To W Barry Ave,N Springfield Ave And W Belmont Ave,N Springfield Ave And W Barry Ave,"[41.93914, -87.724744]","[41.9373185, -87.7259059]",170318311003,170312105012
109,122,On N Washtenaw Ave From W Argyle St To W Winnemac Ave,N Washtenaw Ave And W Argyle St,N Washtenaw Ave And W Winnemac Ave,"[41.972194, -87.696362]","[41.97313, -87.696419]",170310402014,170310402012
110,123,On S Racine Ave From W 108th St To W 110th St,S Racine Ave And W 108th St,S Racine Ave And W 110th St,"[41.697694, -87.652272]","[41.6941041, -87.6521567]",170317501004,170317501004
111,124,On N Washtenaw Ave From W Winona St To W Argyle St,N Washtenaw Ave And W Winona St,N Washtenaw Ave And W Argyle St,"[41.9747895, -87.696441]","[41.972194, -87.696362]",170310402012,170310402014
112,125,On S Carpenter St From W 64th St To W 65th St,S Carpenter St And W 64th St,S Carpenter St And W 65th St,"[41.777835, -87.650815]","[41.776032, -87.650776]",170316810004,170316810004
113,126,On S Constance Ave From E 88th St To E 90th St,S Constance Ave And E 88th St,S Constance Ave And E 90th St,"[41.73521, -87.57932]","[41.731547, -87.579237]",170314801002,170314804007
114,127,On S Davol St From W Monterey Ave To W Waseca Pl,S Davol St And W Monterey Ave,S Davol St And W Waseca Pl,"[41.689374, -87.662499]","[41.68846, -87.662805]",170317505003,170317505003
115,128,On S Eggleston Ave From W 105th St To W 106th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 106th St,"[41.703395, -87.634229]","[41.701555, -87.634217]",170314911001,170314911001
116,129,On S Hamlin Ave From W 66th St To W Marquette Rd,S Hamlin Ave And W 66th St,S Hamlin Ave And W Marquette Rd,"[41.773242, -87.717729]","[41.771435, -87.717682]",170316503022,170316504005
117,130,On S Hermitage Ave From W 47th St To W 46th St,S Hermitage Ave And W 47th St,S Hermitage Ave And W 46th St,"[41.808604, -87.668611]","[41.8103982, -87.668669]",170316104001,170316104001
118,131,On S Hoyne Ave From W 72nd St To W 71st Pl,S Hoyne Ave And W 72nd St,S Hoyne Ave And W 71st Pl,"[41.762974, -87.67593]","[41.763863, -87.675957]",170316720004,170316720004
119,132,On S Karlov Ave From W Arthington St To W Polk St,S Karlov Ave And W Arthington St,S Karlov Ave And W Polk St,"[41.8699867, -87.7277669]","[41.8709134, -87.7277991]",170312610002,170312610002
120,133,On S Kenneth Ave From W 81st Pl To W 81st St,S Kenneth Ave And W 81st Pl,S Kenneth Ave And W 81st St,"[41.744916, -87.7329643]","[41.7452939, -87.733185]",170317003013,170317003013
121,134,On S Lawndale Ave From W 64th Pl To W 66th St,S Lawndale Ave And W 64th Pl,S Lawndale Ave And W 66th St,"[41.776022, -87.715357]","[41.773289, -87.715283]",170316503022,170316503022
122,135,On S Perry Ave From W Marquette Rd To W 68th St,S Perry Ave And W Marquette Rd,S Perry Ave And W 68th St,"[41.772711, -87.628368]","[41.770897, -87.628291]",170316903001,170316903001
123,136,On S Ashland Ave From S Church St To W 109th St,S Ashland Ave And S Church St,S Ashland Ave And W 109th St,"[41.696354, -87.661976]","[41.6957833, -87.6619343]",170317502001,170317501003
124,147,3500-3520 N Reta Ave,3500 N Reta Ave,3520 N Reta Ave,"[41.945617, -87.650999]","[41.94618, -87.651012]",170318320001,170318320001
125,148,1656-1756 W Carmen Ave,1656 W Carmen Ave,1756 W Carmen Ave,"[41.974297720767176, -87.67405590900222]","[41.974297659493146, -87.67397933151237]",170310310001,170310310001
126,158,On S Avenue J From E 104th St To E 103rd St,S Avenue J And E 104th St,S Avenue J And E 103rd St,"[41.706384, -87.534067]","[41.708216, -87.534063]",170315204004,170315204004
127,174,On W 77th St From S Union Ave To S Lowe Ave,W 77th St And S Union Ave,W 77th St And S Lowe Ave,"[41.754311, -87.641701]","[41.754339, -87.640485]",170317101001,170317101001
128,175,On S Halsted St From W 78th St To W 79th St,S Halsted St And W 78th St,S Halsted St And W 79th St,"[41.752467, -87.644107]","[41.750648, -87.64406]",170317102001,170317108001
129,177,7503-7859 S Emerald Ave,7503 S Emerald Ave,7859 S Emerald Ave,"[41.7576024537777, -87.6429517375863]","[41.7489633, -87.64263]",170316813003,170317109001
130,178,On S Green Bay Ave From E 103rd St To E 106th St,S Green Bay Ave And E 103rd St,S Green Bay Ave And E 106th St,"[41.708192, -87.541328]","[41.702754, -87.54132]",170315202002,170315203002
131,194,On W 62nd St From S Ashland Ave To S Laflin St,W 62nd St And S Ashland Ave,W 62nd St And S Laflin St,"[41.7813113, -87.6642075]","[41.781327, -87.661847]",170316708002,170316708002
132,197,On S Ada St From W 79th St To W 77th St,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]",170317107001,170317102005
133,198,On W 77th St From S Loomis Blvd To S Bishop St,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]",170317103001,170317103001
134,199,On W 77th St From S Ada St To S Throop St,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]",170317102005,170317102005
135,200,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave,E Oakwood Blvd And S Langley Ave,E Oakwood Blvd And S Vincennes Ave,"[41.822738, -87.609784]","[41.822698, -87.612877]",170313801001,170313801001
136,201,On S Langley Ave From E 40th St To E Oakwood Blvd,S Langley Ave And E 40th St,S Langley Ave And E Oakwood Blvd,"[41.821471, -87.609754]","[41.822738, -87.609784]",170313801001,170313801001
137,202,On W Montrose Ave From N Narragansett Ave To N Austin Ave,W Montrose Ave And N Narragansett Ave,W Montrose Ave And N Austin Ave,"[41.9602162, -87.786825]","[41.9603599, -87.7770283]",170311701001,170311505022
138,205,On S Natoma Ave From W 57th St To W 56th St,S Natoma Ave And W 57th St,S Natoma Ave And W 56th St,"[41.788582, -87.787736]","[41.790433, -87.787807]",170315610002,170315610002
139,206,On W 56th St From S Nottingham Ave To S New England Ave,W 56th St And S Nottingham Ave,W 56th St And S New England Ave,"[41.7902499, -87.7989121]","[41.790314, -87.793908]",170315610006,170315610004
140,207,On W 56th St From S Natoma Ave To S Neva Ave,W 56th St And S Natoma Ave,W 56th St And S Neva Ave,"[41.790433, -87.787807]","[41.7902299, -87.8001942]",170315610002,170315610006
