,location_name,from,from_lat_long,to,to_lat_long,Status
1036,On W Ogden Ave From S Homan Ave To S Albany Ave,W Ogden Ave And S Homan Ave,"[41.856286, -87.710261]",W Ogden Ave And S Albany Ave,"[41.858617, -87.702908]",All Good
1037,On W Ogden Ave From S Millard Ave To S Albany Ave,W Ogden Ave And S Millard Ave,"[41.8542393, -87.716274]",W Ogden Ave And S Albany Ave,"[41.858617, -87.702908]",All Good
1080,On W Ogden Ave From S Millard Ave To S Central Park Ave,W Ogden Ave And S Millard Ave,"[41.8542393, -87.716274]",W Ogden Ave And S Central Park Ave,"[41.817949, -87.86978]",To Bad
1039,On W Pershing Rd From S Damen Ave To S Paulina St,W Pershing Rd And S Damen Ave,"[41.8232785, -87.6751065]",W Pershing Rd And S Paulina St,"[41.8232244, -87.6677811]",All Good
1998,On W Pershing Rd From S Normal Ave To W 208,W Pershing Rd And S Normal Ave,"[41.823541, -87.638617]",208 W Pershing Rd,"[41.82378844311417, -87.62639792694345]",To Bad
1640,On W Polk St From S Dan Ryan Expy To S Shields Ave,W Polk St And S Dan Ryan Expy,"[41.8719689, -87.6446372]",W Polk St And S Shields Ave,"[41.871468050000004, -87.6781956]",Both Bad
1286,On W Roosevelt Rd From S Washtenaw Ave To S Western Ave,W Roosevelt Rd And S Washtenaw Ave,"[41.866573, -87.693418]",W Roosevelt Rd And S Western Ave,"[41.866698, -87.686116]",All Good
838,On W Strong St From N Lockwood Ave To N Cicero Ave,W Strong St And N Lockwood Ave,"[41.9707992, -87.7600351]",W Strong St And N Cicero Ave,"[41.9707651, -87.7479207]",All Good
533,On W Talcott Ave From N Harlem Ave To N Ozanam Ave,W Talcott Ave And N Harlem Ave,"[41.985822, -87.806927]",W Talcott Ave And N Ozanam Ave,"[41.99274, -87.820869]",All Good
532,On W Talcott Ave From N Neva Ave To N Ozanam Ave,W Talcott Ave And N Neva Ave,"[41.985043, -87.805246]",W Talcott Ave And N Ozanam Ave,"[41.99274, -87.820869]",All Good
566,On W Thorndale Ave From N Sheridan Rd To N Glenwood Ave,W Thorndale Ave And N Sheridan Rd,"[41.9901119, -87.6553792]",W Thorndale Ave And N Glenwood Ave,"[41.9899626, -87.6651244]",All Good
1634,On W Van Buren Stn From S Leavitt St To S Ashland Ave,W Van Buren Stn And S Leavitt St,"[41.876187, -87.681416]",W Van Buren Stn And S Ashland Ave,"[41.876388, -87.666746]",All Good
1045,On W Washington Blvd From N Talman Ave To N Leavitt St,W Washington Blvd And N Talman Ave,"[41.882967, -87.69225]",W Washington Blvd And N Leavitt St,"[41.8830685, -87.6816033]",All Good
