,location_name,from,to,from_lat_long,to_lat_long
1201,On N Central Ave From N Indian Rd To W Ardmore Ave,N Central Ave And N Indian Rd,N Central Ave And W Ardmore Ave,"[41.988706, -87.766758]","[41.985834, -87.768284]"
1202,On N Central Ave From N Northwest Hwy To N Kennedy Expy Ob,N Central Ave And N Northwest Hwy,N Central Ave And N Kennedy Expy Ob,"[41.975197, -87.768486]","[41.9439845, -87.7173535]"
1203,On N Claremont Ave From W Chase Ave To W Touhy Ave,N Claremont Ave And W Chase Ave,N Claremont Ave And W Touhy Ave,"[42.0140991, -87.6888972]","[42.012302, -87.688914]"
1204,On N Oriole Ave From W Waveland Ave To W Belmont Ave,N Oriole Ave And W Waveland Ave,N Oriole Ave And W Belmont Ave,"[41.946579, -87.816796]","[41.937955, -87.816498]"
1205,On N Elizabeth St From W Carroll Ave To W Randolph St,N Elizabeth St And W Carroll Ave,N Elizabeth St And W Randolph St,"[41.88769, -87.658892]","[41.884123, -87.658838]"
1206,On N Hiawatha Ave From N Loleta Ave To N Central Ave,N Hiawatha Ave And N Loleta Ave,N Hiawatha Ave And N Central Ave,"[42.003764, -87.7712245]","[41.999807, -87.762929]"
1208,On N Mason Ave From W Seminole St To W Bryn Mawr Ave,N Mason Ave And W Seminole St,N Mason Ave And W Bryn Mawr Ave,"[41.9847294, -87.7768114]","[41.982863, -87.776842]"
1209,On N Nashville Ave From W Gregory St To W Balmoral Ave,N Nashville Ave And W Gregory St,N Nashville Ave And W Balmoral Ave,"[41.9820457, -87.7914043]","[41.9792439, -87.7914419]"
1210,On N Neenah Ave From W Gregory St To W Balmoral Ave,N Neenah Ave And W Gregory St,N Neenah Ave And W Balmoral Ave,"[41.9820531, -87.7901392]","[41.9792577, -87.7902337]"
1211,On N Normandy Ave From W Devon Ave To W Palatine Ave,N Normandy Ave And W Devon Ave,N Normandy Ave And W Palatine Ave,"[41.9972928, -87.7939388]","[41.9954983, -87.7935787]"
1212,On N Oconto Ave From W Jarvis Ave To W Chase Ave,N Oconto Ave And W Jarvis Ave,N Oconto Ave And W Chase Ave,"[42.0153042, -87.8078309]","[42.0135198, -87.8078504]"
1213,On N Octavia Ave From W Roscoe St To W Belmont Ave,N Octavia Ave And W Roscoe St,N Octavia Ave And W Belmont Ave,"[41.9415111, -87.8092438]","[41.937988, -87.809156]"
1214,On N Oketo Ave From W Addison St To W School St,N Oketo Ave And W Addison St,N Oketo Ave And W School St,"[41.945175, -87.811794]","[41.9397339, -87.8114265]"
1215,On N Olcott Ave From W Ibsen St To W Pratt Ave,N Olcott Ave And W Ibsen St,N Olcott Ave And W Pratt Ave,"[42.0061, -87.8136983]","[42.0042444, -87.8137252]"
1216,On N Olcott Ave From W Waveland Ave To W Cornelia Ave,N Olcott Ave And W Waveland Ave,N Olcott Ave And W Cornelia Ave,"[41.946643, -87.814355]","[41.943301, -87.814233]"
1217,On N Elizabeth St From W Grand Ave To W Kinzie St,N Elizabeth St And W Grand Ave,N Elizabeth St And W Kinzie St,"[41.891087, -87.659461]","[41.88892, -87.658938]"
1218,On S Prairie Ave From E 79th St To E 80th St,S Prairie Ave And E 79th St,S Prairie Ave And E 80th St,"[41.751061, -87.618157]","[41.749243, -87.618114]"
1219,On S Prairie Ave From E 93rd St To E 95th St,S Prairie Ave And E 93rd St,S Prairie Ave And E 95th St,"[41.725478, -87.617821]","[41.721827, -87.617781]"
1220,On W Forest Preserve Ave From N Pontiac Ave To N Panama Ave,W Forest Preserve Ave And N Pontiac Ave,W Forest Preserve Ave And N Panama Ave,"[41.94067, -87.834902]","[41.943465, -87.828968]"
1221,On W Grenshaw St From S Western Ave To S Oakley Blvd,W Grenshaw St And S Western Ave,W Grenshaw St And S Oakley Blvd,"[41.8675297, -87.6860169]","[41.8675621, -87.6836236]"
1222,On W Loyola Ave From N Winchester Ave To N Ridge Blvd,W Loyola Ave And N Winchester Ave,W Loyola Ave And N Ridge Blvd,"[42.0003289, -87.6790748]","[42.0003708, -87.6779429]"
1223,On W Morse Ave From N Western Ave To N Bell Ave,W Morse Ave And N Western Ave,W Morse Ave And N Bell Ave,"[42.007201, -87.690195]","[42.007279, -87.686021]"
1224,On W North Ave From N Harlem Ave To N Sayre Ave,W North Ave And N Harlem Ave,W North Ave And N Sayre Ave,"[41.9088, -87.805845]","[41.909025, -87.800203]"
1225,On W Ogden Ave From S Albany Ave To S Farrar Dr,W Ogden Ave And S Albany Ave,W Ogden Ave And S Farrar Dr,"[41.858617, -87.702908]","[41.86114955, -87.69681535000001]"
1226,On W Ogden Ave From S Drake Ave To S Trumbull Ave,W Ogden Ave And S Drake Ave,W Ogden Ave And S Trumbull Ave,"[41.855085, -87.713839]","[41.855779, -87.711346]"
1227,On W Ogden Ave From S Homan Ave To S Albany Ave,W Ogden Ave And S Homan Ave,W Ogden Ave And S Albany Ave,"[41.856286, -87.710261]","[41.858617, -87.702908]"
1228,On W Ogden Ave From S Millard Ave To S Albany Ave,W Ogden Ave And S Millard Ave,W Ogden Ave And S Albany Ave,"[41.8542393, -87.716274]","[41.858617, -87.702908]"
1229,On W Ogden Ave From S Springfield Ave To S Ridgeway Ave,W Ogden Ave And S Springfield Ave,W Ogden Ave And S Ridgeway Ave,"[41.851906, -87.722277]","[41.853165, -87.718713]"
1230,On W Pershing Rd From S Damen Ave To S Paulina St,W Pershing Rd And S Damen Ave,W Pershing Rd And S Paulina St,"[41.8232785, -87.6751065]","[41.8232244, -87.6677811]"
1231,On W Forest Preserve Ave From N Olcott Ave To W Irving Park Rd,W Forest Preserve Ave And N Olcott Ave,W Forest Preserve Ave And W Irving Park Rd,"[41.950102, -87.814863]","[41.952734, -87.809733]"
1232,On W Roosevelt Rd From S Albany Ave To S Whipple St,W Roosevelt Rd And S Albany Ave,W Roosevelt Rd And S Whipple St,"[41.866461, -87.703196]","[41.866471, -87.702013]"
1233,On W Schreiber Ave From N Oak Park Ave To N Natoma Ave,W Schreiber Ave And N Oak Park Ave,W Schreiber Ave And N Natoma Ave,"[41.998164, -87.795598]","[41.9981976, -87.7923156]"
1234,On W Taylor St From S Marshfield Ave To S Loomis St,W Taylor St And S Marshfield Ave,W Taylor St And S Loomis St,"[41.869265, -87.667705]","[41.869337, -87.661631]"
1235,On W Warren Blvd From N Kedzie Ave To N Sacramento Blvd,W Warren Blvd And N Kedzie Ave,W Warren Blvd And N Sacramento Blvd,"[41.881911, -87.706168]","[41.8819729, -87.701246]"
1236,On W Washington Blvd From N Talman Ave To N Leavitt St,W Washington Blvd And N Talman Ave,W Washington Blvd And N Leavitt St,"[41.882967, -87.69225]","[41.8830685, -87.6816033]"
1237,830-888 E 88th St,830 E 88th St,888 E 88th St,"[41.735077, -87.603399]","[41.73491298698177, -87.60188011796464]"
1238,1200-1210 N Dearborn St,1200 N Dearborn St,1210 N Dearborn St,"[41.904152, -87.630411]","[41.904351, -87.630121]"
1239,855-881 N La Salle Dr,855 N La Salle Dr,881 N La Salle Dr,"[41.898322, -87.632526]","[41.89898, -87.632332]"
1240,3000-3140 N Octavia Ave,3000 N Octavia Ave,3140 N Octavia Ave,"[41.934595, -87.809436]","[41.9375218, -87.8094812]"
1241,7216-7300 N Odell Ave,7216 N Odell Ave,7300 N Odell Ave,"[42.012135, -87.810535]","[42.013675, -87.810621]"
1242,3912-3970 N Olcott Ave,3912 N Olcott Ave,3970 N Olcott Ave,"[41.950878, -87.814972]","[41.95232539314217, -87.8146615539565]"
1243,3914-3990 N Oleander Ave,3914 N Oleander Ave,3990 N Oleander Ave,"[41.950337, -87.816139]","[41.95251328079751, -87.81588282814367]"
1244,On W Roosevelt Rd From S Pulaski Rd To S Independence Blvd,W Roosevelt Rd And S Pulaski Rd,W Roosevelt Rd And S Independence Blvd,"[41.866182, -87.725157]","[41.8662562, -87.7194997]"
1245,On W Fargo Ave From N Rockwell St To N Western Ave,W Fargo Ave And N Rockwell St,W Fargo Ave And N Western Ave,"[42.0167359, -87.6949067]","[42.016849, -87.69025]"
1247,On W Cermak Rd From S Marshall Blvd To S Rockwell St,W Cermak Rd And S Marshall Blvd,W Cermak Rd And S Rockwell St,"[41.851873, -87.699086]","[41.851995, -87.690562]"
1248,On S Racine Ave From W Congress Pkwy To W Flournoy St,S Racine Ave And W Congress Pkwy,S Racine Ave And W Flournoy St,"[41.87536, -87.656894]","[41.873267, -87.656913]"
1249,On S Rhodes Ave From E 83rd St To E 84th St,S Rhodes Ave And E 83rd St,S Rhodes Ave And E 84th St,"[41.74387, -87.611098]","[41.7420391, -87.6114531]"
1250,On S Ridgeland Ave From E 90th St To E 91st St,S Ridgeland Ave And E 90th St,S Ridgeland Ave And E 91st St,"[41.731513, -87.581603]","[41.729694, -87.581578]"
1251,On S Ridgeway Ave From W 26th St To W 27th St,S Ridgeway Ave And W 26th St,S Ridgeway Ave And W 27th St,"[41.844344, -87.718463]","[41.84251, -87.718399]"
1252,On S Sawyer Ave From W 24th St To W 25th St,S Sawyer Ave And W 24th St,S Sawyer Ave And W 25th St,"[41.848123, -87.706356]","[41.8463168, -87.7062979]"
1253,On S Throop St From W Madison St To W Van Buren St,S Throop St And W Madison St,S Throop St And W Van Buren St,"[41.8815324, -87.6595915]","[41.8764684, -87.6594045]"
1254,On W Coyle Ave From N Rockwell St To N Western Ave,W Coyle Ave And N Rockwell St,W Coyle Ave And N Western Ave,"[42.0076472, -87.6949737]","[42.0077489, -87.6901001]"
1255,On S Western Ave From W Congress Pkwy To W Harrison St,S Western Ave And W Congress Pkwy,S Western Ave And W Harrison St,"[41.8750096, -87.6861565]","[41.873935, -87.6861501]"
1256,On S Western Ave From W Madison St To W Van Buren St,S Western Ave And W Madison St,S Western Ave And W Van Buren St,"[41.881197, -87.686391]","[41.876105, -87.686389]"
1257,On S Yale Ave From W 80th St To W 81st St,S Yale Ave And W 80th St,S Yale Ave And W 81st St,"[41.749001, -87.630629]","[41.7472086, -87.630576]"
1258,On W 15th St From S Central Park Ave To S St Louis Ave,W 15th St And S Central Park Ave,W 15th St And S St Louis Ave,"[41.860813, -87.71648]","[41.8608349, -87.7128279]"
1259,On W 16th St From S Keeler Ave To S Pulaski Rd,W 16th St And S Keeler Ave,W 16th St And S Pulaski Rd,"[41.8587838, -87.7298331]","[41.8588637, -87.7249293]"
1260,On S Vincennes Ave From S Halsted St To S Summit Ave,S Vincennes Ave And S Halsted St,S Vincennes Ave And S Summit Ave,"[41.737314, -87.64365]","[41.736539, -87.644989]"
1261,On W 24th St From S Christiana Ave To S Kedzie Ave,W 24th St And S Christiana Ave,W 24th St And S Kedzie Ave,"[41.848095, -87.708789]","[41.8481491, -87.7051366]"
1262,On W 25th St From S Sacramento Ave To S California Ave,W 25th St And S Sacramento Ave,W 25th St And S California Ave,"[41.846394, -87.700183]","[41.846482, -87.695264]"
1263,On W 26th St From S Keeler Ave To S Hamlin Ave,W 26th St And S Keeler Ave,W 26th St And S Hamlin Ave,"[41.844183, -87.729424]","[41.844322, -87.719659]"
1264,On W 28th St From S Pulaski Rd To S Springfield Ave,W 28th St And S Pulaski Rd,W 28th St And S Springfield Ave,"[41.840564, -87.724439]","[41.8406136, -87.7219603]"
1265,On W 30th St From S Pulaski Rd To S Springfield Ave,W 30th St And S Pulaski Rd,W 30th St And S Springfield Ave,"[41.838729, -87.724393]","[41.838757, -87.721936]"
1266,On W 83rd St From S Emerald Ave To S Vincennes Ave,W 83rd St And S Emerald Ave,W 83rd St And S Vincennes Ave,"[41.743363, -87.642629]","[41.744139, -87.635971]"
1268,On W 85th St From S Paulina St To S Ashland Ave,W 85th St And S Paulina St,W 85th St And S Ashland Ave,"[41.739373, -87.665587]","[41.739412, -87.66309]"
1269,On W 89th St From S Yale Ave To S Holland Rd,W 89th St And S Yale Ave,W 89th St And S Holland Rd,"[41.732541, -87.630638]","[41.732598, -87.628954]"
1270,On W 95th St From S Morgan St To S Halsted St,W 95th St And S Morgan St,W 95th St And S Halsted St,"[41.721432, -87.648065]","[41.721393, -87.643278]"
1271,On W Albion Ave From N Lakewood Ave To N Sheridan Rd,W Albion Ave And N Lakewood Ave,W Albion Ave And N Sheridan Rd,"[42.0025081, -87.6629945]","[42.00254, -87.6607563]"
1272,On W 23rd St From S Christiana Ave To S Kedzie Ave,W 23rd St And S Christiana Ave,W 23rd St And S Kedzie Ave,"[41.849933, -87.708839]","[41.849976, -87.705188]"
1273,On W Ogden Ave From S Millard Ave To S Central Park Ave,W Ogden Ave And S Millard Ave,W Ogden Ave And S Central Park Ave,"[41.8542393, -87.716274]","[41.817949, -87.86978]"
1275,On W Ogden Ave From S Hamlin Ave To S Ridgeway Ave,W Ogden Ave And S Hamlin Ave,W Ogden Ave And S Ridgeway Ave,"[41.852961, -87.71991]","[41.853165, -87.718713]"
1276,On W Ogden Ave From S California Blvd To S Washtenaw Ave,W Ogden Ave And S California Blvd,W Ogden Ave And S Washtenaw Ave,"[41.861494, -87.695776]","[41.862378, -87.693284]"
1277,On W Forest Preserve Ave From N Panama Ave To N Pacific Ave,W Forest Preserve Ave And N Panama Ave,W Forest Preserve Ave And N Pacific Ave,"[41.943465, -87.828968]","[41.944625, -87.826497]"
1278,On W North Ave From N Hamlin Ave To N Kimball Ave,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave,"[41.909914, -87.721678]","[42.002811, -87.714248]"
1279,On W Morse Ave From N Hamilton Ave To N Seeley Ave,W Morse Ave And N Hamilton Ave,W Morse Ave And N Seeley Ave,"[42.007317, -87.683924]","[42.007367, -87.68198]"
1280,On W Ibsen St From N Oriole Ave To N Harlem Ave,W Ibsen St And N Oriole Ave,W Ibsen St And N Harlem Ave,"[42.0060043, -87.8164539]","[42.006307, -87.80669]"
1281,On W Foster Ave From N Normandy Ave To N Nashville Ave,W Foster Ave And N Normandy Ave,W Foster Ave And N Nashville Ave,"[41.975569, -87.793937]","[41.975581, -87.791518]"
1282,On W North Ave From N Nagle Ave To N Natoma Ave,W North Ave And N Nagle Ave,W North Ave And N Natoma Ave,"[41.909195, -87.786612]","[41.909139, -87.791091]"
1283,On W Patterson Ave From N Ozanam Ave To N Overhill Ave,W Patterson Ave And N Ozanam Ave,W Patterson Ave And N Overhill Ave,"[41.9461553, -87.8216803]","[41.946185, -87.819607]"
1284,3714-3808 N Oleander Ave,3714 N Oleander Ave,3808 N Oleander Ave,"[41.947038, -87.815875]","[41.949194106180485, -87.81583860342226]"
1285,On W Roosevelt Rd From S California Ave To S Washtenaw Ave,W Roosevelt Rd And S California Ave,W Roosevelt Rd And S Washtenaw Ave,"[41.866546, -87.695907]","[41.866573, -87.693418]"
1286,On W Roosevelt Rd From S St Louis Ave To S Spaulding Ave,W Roosevelt Rd And S St Louis Ave,W Roosevelt Rd And S Spaulding Ave,"[41.866337, -87.712973]","[41.866398, -87.708108]"
1287,On W Taylor St From S Leavitt St To S Hoyne Ave,W Taylor St And S Leavitt St,W Taylor St And S Hoyne Ave,"[41.8690762, -87.6815038]","[41.8690996, -87.6781815]"
1288,On W Taylor St From S Western Ave To S Oakley Blvd,W Taylor St And S Western Ave,W Taylor St And S Oakley Blvd,"[41.8693379, -87.6860671]","[41.8690325, -87.683644]"
1289,On W Washington Blvd From N Lamon Ave To N Cicero Ave,W Washington Blvd And N Lamon Ave,W Washington Blvd And N Cicero Ave,"[41.881793, -87.747744]","[41.88183, -87.745304]"
1290,830-864 E 89th St,830 E 89th St,864 E 89th St,"[41.733228, -87.603408]","[41.733069905699345, -87.60307573682778]"
1291,7332-7340 N Greenview Ave,7332 N Greenview Ave,7340 N Greenview Ave,"[42.015079523531064, -87.66816827649897]","[42.015268583112636, -87.66818266748444]"
1292,5430-5500 N Natchez Ave,5430 N Natchez Ave,5500 N Natchez Ave,"[41.98021, -87.789346]","[41.981194, -87.789326]"
1293,3000-3140 N Odell Ave,3000 N Odell Ave,3140 N Odell Ave,"[41.93457, -87.810656]","[41.937475, -87.81076]"
1294,3200-3214 N Oketo Ave,3200 N Oketo Ave,3214 N Oketo Ave,"[41.93828052498003, -87.81136379979135]","[41.938343, -87.811724]"
1295,On W Farwell Ave From N Bell Ave To N Seeley Ave,W Farwell Ave And N Bell Ave,W Farwell Ave And N Seeley Ave,"[42.006371, -87.685959]","[42.006444, -87.682248]"
1296,On W Pershing Rd From S Wolcott Ave To S Ashland Ave,W Pershing Rd And S Wolcott Ave,W Pershing Rd And S Ashland Ave,"[41.8232985, -87.672655]","[41.8231261, -87.6654657]"
1297,On W Erie St From N Western Ave To N Leavitt St,W Erie St And N Western Ave,W Erie St And N Leavitt St,"[41.893038, -87.686863]","[41.893104, -87.681852]"
1298,On W 23rd St From S Marshall Blvd To S Rockwell St,W 23rd St And S Marshall Blvd,W 23rd St And S Rockwell St,"[41.850028, -87.699021]","[41.8501573, -87.6905052]"
1299,On W Cermak Rd From S Karlov Ave To S Harding Ave,W Cermak Rd And S Karlov Ave,W Cermak Rd And S Harding Ave,"[41.851441, -87.727176]","[41.8515706, -87.7235289]"
1300,3210-3242 N Orange Ave,3210 N Orange Ave,3242 N Orange Ave,"[41.93796838464704, -87.8238675108655]","[41.939043095463575, -87.82392617202942]"
1301,On S Princeton Ave From W 99th St To W 100th Pl,S Princeton Ave And W 99th St,S Princeton Ave And W 100th Pl,"[41.714345, -87.630868]","[41.711643, -87.6308098]"
1302,On S Racine Ave From W Madison St To W Van Buren St,S Racine Ave And W Madison St,S Racine Ave And W Van Buren St,"[41.881598, -87.657148]","[41.876548, -87.657085]"
1303,On S Rhodes Ave From E 86th St To E 87th St,S Rhodes Ave And E 86th St,S Rhodes Ave And E 87th St,"[41.7383865, -87.6113368]","[41.736554, -87.611305]"
1304,On S Ridgeway Ave From W 15th St To W Ogden Ave,S Ridgeway Ave And W 15th St,S Ridgeway Ave And W Ogden Ave,"[41.86077, -87.718907]","[41.853165, -87.718713]"
1305,On S Rockwell St From W 18th St To W 19th St,S Rockwell St And W 18th St,S Rockwell St And W 19th St,"[41.8574115, -87.6906617]","[41.855603, -87.690638]"
1306,On S Stony Island Ave From E 90th St To E 91st St,S Stony Island Ave And E 90th St,S Stony Island Ave And E 91st St,"[41.731452, -87.585098]","[41.729603, -87.585507]"
1307,On S Union Ave From W 72nd St To W 73rd St,S Union Ave And W 72nd St,S Union Ave And W 73rd St,"[41.763436, -87.641514]","[41.761616, -87.641468]"
1308,On S Wabash Ave From E 92nd St To E 93rd St,S Wabash Ave And E 92nd St,S Wabash Ave And E 93rd St,"[41.727239, -87.622316]","[41.7254019, -87.6222978]"
1309,On S Western Ave From W Harrison St To W Polk St,S Western Ave And W Harrison St,S Western Ave And W Polk St,"[41.873935, -87.6861501]","[41.8713273, -87.6862521]"
1310,On W 14th St From S Keeler Ave To S Pulaski Rd,W 14th St And S Keeler Ave,W 14th St And S Pulaski Rd,"[41.862457, -87.7299672]","[41.862538, -87.725049]"
1311,On W 21st St From S St Louis Ave To S Homan Ave,W 21st St And S St Louis Ave,W 21st St And S Homan Ave,"[41.853565, -87.712368]","[41.8520457, -87.7106438]"
1312,On W 25th St From S Christiana Ave To S Kedzie Ave,W 25th St And S Christiana Ave,W 25th St And S Kedzie Ave,"[41.846277, -87.7087335]","[41.8463433, -87.7050795]"
1313,On W 26th St From S Francisco Ave To S Washtenaw Ave,W 26th St And S Francisco Ave,W 26th St And S Washtenaw Ave,"[41.844687, -87.697686]","[41.844757, -87.6928]"
1314,On W 26th St From S Lawndale Ave To S Christiana Ave,W 26th St And S Lawndale Ave,W 26th St And S Christiana Ave,"[41.844361, -87.717233]","[41.844493, -87.708693]"
1315,On W 30th St From S Lawndale Ave To S Millard Ave,W 30th St And S Lawndale Ave,W 30th St And S Millard Ave,"[41.838855, -87.717074]","[41.838872, -87.715846]"
1316,On W 31st St From S Lawndale Ave To S Homan Ave,W 31st St And S Lawndale Ave,W 31st St And S Homan Ave,"[41.837016, -87.717025]","[41.837179, -87.709691]"
1317,On W 83rd St From S Morgan St To S Green St,W 83rd St And S Morgan St,W 83rd St And S Green St,"[41.743283, -87.648702]","[41.743335, -87.645087]"
1318,On W 85th St From S Damen Ave To S Wood St,W 85th St And S Damen Ave,W 85th St And S Wood St,"[41.739293, -87.672891]","[41.739361, -87.668037]"
1319,On W 88th St From S Racine Ave To S Halsted St,W 88th St And S Racine Ave,W 88th St And S Halsted St,"[41.7341, -87.653296]","[41.734306, -87.643522]"
1320,On W 90th St From S Halsted St To S Lowe Ave,W 90th St And S Halsted St,W 90th St And S Lowe Ave,"[41.730775, -87.643546]","[41.730809, -87.639826]"
1321,On W 99th St From S Morgan St To S Halsted St,W 99th St And S Morgan St,W 99th St And S Halsted St,"[41.714136, -87.647854]","[41.714214, -87.643121]"
1322,On W 15th St From S Rockwell St To S Western Ave,W 15th St And S Rockwell St,W 15th St And S Western Ave,"[41.8611459, -87.6907934]","[41.8612036, -87.6858259]"
1324,2200-2348 W Van Buren St,2200 W Van Buren St,2348 W Van Buren St,"[41.87622612189424, -87.68061802822037]","[41.876347, -87.685626]"
1325,3912-3958 N Ottawa Ave,3912 N Ottawa Ave,3958 N Ottawa Ave,"[41.951102, -87.818673]","[41.951385640576824, -87.81837569448123]"
1326,3216-3460 N Page Ave,3216 N Page Ave,3460 N Page Ave,"[41.938306, -87.827906]","[41.942893, -87.828098]"
1327,3500-3546 N Panama Ave,3500 N Panama Ave,3546 N Panama Ave,"[41.94320653690887, -87.82901738755181]","[41.944215, -87.829344]"
1328,3200-3332 N Pittsburgh Ave,3200 N Pittsburgh Ave,3332 N Pittsburgh Ave,"[41.937985415690356, -87.83247359924539]","[41.940263171818806, -87.8325719264391]"
1329,10-34 N Western Ave,10 N Western Ave,34 N Western Ave,"[41.881389375895964, -87.68658045799546]","[41.881401616318605, -87.68658096916087]"
1330,2102-2128 S Albany Ave,2102 S Albany Ave,2128 S Albany Ave,"[41.85343203749161, -87.70290972836847]","[41.852701, -87.703069]"
1331,8900-8910 S Dorchester Ave,8900 S Dorchester Ave,8910 S Dorchester Ave,"[41.733059, -87.590834]","[41.732786, -87.590828]"
1332,8100-8112 S Harvard Ave,8100 S Harvard Ave,8112 S Harvard Ave,"[41.747037, -87.633338]","[41.746736, -87.633329]"
1333,2400-3140 S Kedzie Ave,2400 S Kedzie Ave,3140 S Kedzie Ave,"[41.847935, -87.70549]","[41.83581015388985, -87.7048210135158]"
1334,1862-1900 S Millard Ave,1862 S Millard Ave,1900 S Millard Ave,"[41.8552856, -87.7166748]","[41.854941, -87.716676]"
1335,4700-5440 S Morgan St,4700 S Morgan St,5440 S Morgan St,"[41.80779089709728, -87.65040426149247]","[41.794852, -87.650382]"
1336,7324-7412 S St Louis Ave,7324 S St Louis Ave,7412 S St Louis Ave,"[41.759873961852776, -87.71007922229664]","[41.75865919796405, -87.7100328594011]"
1337,2932-2940 W 59th St,2932 W 59th St,2940 W 59th St,"[41.786601, -87.697489]","[41.786541, -87.697631]"
1338,2400-2559 W 79th St,2400 W 79th St,2559 W 79th St,"[41.750219860829056, -87.68303647030828]","[41.749776, -87.68772]"
1339,6702-6846 W Ardmore Ave,6702 W Ardmore Ave,6846 W Ardmore Ave,"[41.98650340967832, -87.79436505741738]","[41.986691331863476, -87.7996319931175]"
1340,200-212 W Couch Pl,200 W Couch Pl,212 W Couch Pl,"[41.88514451218724, -87.63292861385051]","[41.88514415514261, -87.63301064423095]"
1341,7632-7660 W Forest Preserve Ave,7632 W Forest Preserve Ave,7660 W Forest Preserve Ave,"[41.948942, -87.818199]","[41.948504, -87.81909]"
1342,1806-2000 W Irving Park Rd,1806 W Irving Park Rd,2000 W Irving Park Rd,"[41.954376, -87.674501]","[41.9542067, -87.6791267]"
1343,2400-2552 W Ogden Ave,2400 W Ogden Ave,2552 W Ogden Ave,"[41.865008, -87.686179]","[41.8637177, -87.6906032]"
1344,3214-3460 N Osage Ave,3214 N Osage Ave,3460 N Osage Ave,"[41.938168, -87.82535]","[41.942925, -87.825641]"
1345,2130-2300 W Roosevelt Rd,2130 W Roosevelt Rd,2300 W Roosevelt Rd,"[41.866897, -87.680849]","[41.866963, -87.683816]"
1346,3200-3240 N Ottawa Ave,3200 N Ottawa Ave,3240 N Ottawa Ave,"[41.938071193673, -87.8177902238044]","[41.939177, -87.818137]"
1347,1600-1950 W Roosevelt Rd,1600 W Roosevelt Rd,1950 W Roosevelt Rd,"[41.8636517, -87.6615283]","[41.867318, -87.674987]"
1348,3210-3242 N Ozanam Ave,3210 N Ozanam Ave,3242 N Ozanam Ave,"[41.93802185916919, -87.82144206793961]","[41.9390679318368, -87.8214895892346]"
1349,3214-3300 N Panama Ave,3214 N Panama Ave,3300 N Panama Ave,"[41.938275, -87.829143]","[41.939496, -87.829193]"
1350,3200-3444 N Paris Ave,3200 N Paris Ave,3444 N Paris Ave,"[41.93793067649081, -87.83004039011999]","[41.942307, -87.830508]"
1351,3600-3940 N Pioneer Ave,3600 N Pioneer Ave,3940 N Pioneer Ave,"[41.945031956708576, -87.83156713194157]","[41.9515535, -87.8319408]"
1352,3220-3346 N Plainfield Ave,3220 N Plainfield Ave,3346 N Plainfield Ave,"[41.93818, -87.833956]","[41.940386501179006, -87.83377559478762]"
1353,134-140 N Western Ave,134 N Western Ave,140 N Western Ave,"[41.88556437717341, -87.68670829182469]","[41.881386519302296, -87.6865803387029]"
1354,2723-3100 S Archer Ave,2723 S Archer Ave,3100 S Archer Ave,"[41.843964, -87.652559]","[41.83762047488891, -87.66599581207548]"
1355,8546-8700 S Cottage Grove Ave,8546 S Cottage Grove Ave,8700 S Cottage Grove Ave,"[41.738955, -87.605464]","[41.736431, -87.605173]"
1356,9176-9232 S Dr Martin Luther King Jr Dr,9176 S Dr Martin Luther King Jr Dr,9232 S Dr Martin Luther King Jr Dr,"[41.726944, -87.614625]","[41.725949, -87.614537]"
1357,2316-2700 W Roosevelt Rd,2316 W Roosevelt Rd,2700 W Roosevelt Rd,"[41.866923, -87.684269]","[41.867359, -87.6944]"
1358,9400-9440 S Indiana Ave,9400 S Indiana Ave,9440 S Indiana Ave,"[41.723477452442125, -87.6190775819822]","[41.722394, -87.619472]"
1359,2100-2130 S Millard Ave,2100 S Millard Ave,2130 S Millard Ave,"[41.85353320957219, -87.7163269779664]","[41.852927, -87.716601]"
1360,2100-2324 S Ridgeway Ave,2100 S Ridgeway Ave,2324 S Ridgeway Ave,"[41.852382181400436, -87.718720733109]","[41.849029, -87.718939]"
1361,2600-2733 W 25th St,2600 W 25th St,2733 W 25th St,"[41.846709, -87.690558]","[41.8457118, -87.6936302]"
1362,2948-3000 W 59th St,2948 W 59th St,3000 W 59th St,"[41.786538, -87.697961]","[41.786458, -87.698659]"
1363,402-500 W 95th St,402 W 95th St,500 W 95th St,"[41.7222523, -87.6340564]","[41.7217426, -87.6361302]"
1364,7852-7892 W Cahill Ter,7852 W Cahill Ter,7892 W Cahill Ter,"[41.946316, -87.824347]","[41.945849, -87.825532]"
1365,7400-7749 W Forest Preserve Ave,7400 W Forest Preserve Ave,7749 W Forest Preserve Ave,"[41.95166446495063, -87.81206716140765]","[41.946547, -87.821408]"
1366,7800-7860 W Forest Preserve Ave,7800 W Forest Preserve Ave,7860 W Forest Preserve Ave,"[41.94660157379991, -87.82226277023102]","[41.94635900350958, -87.82276938929235]"
1367,1026-1100 W Leland Ave,1026 W Leland Ave,1100 W Leland Ave,"[41.9673907, -87.6559012]","[41.967312, -87.657969]"
1368,3200-3236 S Lawndale Ave,3200 S Lawndale Ave,3236 S Lawndale Ave,"[41.83505, -87.717328]","[41.834076, -87.717214]"
1369,2610-2800 W Wilcox St,2610 W Wilcox St,2800 W Wilcox St,"[41.879583, -87.691866]","[41.87931666249036, -87.69663989124047]"
