,Unnamed: 0,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
709,709,[170 -02] 38309,On S Lawndale Ave From W 61st St To W 63rd St,2018-2022,S Lawndale Ave And W 61st St,S Lawndale Ave And W 63rd St,"[41.782383, -87.715509]","[41.778768, -87.715402]",170316501002,170316503021
710,710,[170 -02] 38309,On S Oakley Ave From W 101st St To W 102nd St,2018-2022,S Oakley Ave And W 101st St,S Oakley Ave And W 102nd St,"[41.7100361, -87.6801033]","[41.708223, -87.6800533]",170317203003,170317203003
711,711,[170 -02] 38309,On S Princeton Ave From W 120th St To W 122nd St,2018-2022,S Princeton Ave And W 120th St,S Princeton Ave And W 122nd St,"[41.676122, -87.629843]","[41.672486, -87.629723]",170315305011,170315305013
712,712,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St,2018-2022,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St,"[41.7414764, -87.70948]","[41.7387565, -87.7093861]",170317004011,170317004023
713,713,[170 -02] 38309,On S Wabash Ave From E Marquette Rd To E 66th Pl,2018-2022,S Wabash Ave And E Marquette Rd,S Wabash Ave And E 66th Pl,"[41.7728084, -87.6234821]","[41.774061, -87.623975]",170316904004,170318425001
714,714,[170 -02] 38309,On N Monticello Ave From W Ohio St To W Ferdinand St,2018-2022,N Monticello Ave And W Ohio St,N Monticello Ave And W Ferdinand St,"[41.8917758, -87.7174368]","[41.88995, -87.717398]",170312315003,170312315003
715,715,[170 -02] 38309,W Maypole Ave And N Hamlin Blvd,2018-2022,W Maypole Ave And N Hamlin Blvd,None,"[41.884098, -87.720868]",None,170318368001,None
716,716,[170 -02] 38309,W Pensacola Ave And N Campbell Ave,2018-2022,W Pensacola Ave And N Campbell Ave,None,"[41.960394, -87.691773]",None,170310503001,None
717,717,[170 -02] 38309,W Washington Blvd And N Pulaski Rd,2018-2022,W Washington Blvd And N Pulaski Rd,None,"[41.881962, -87.725665]",None,170312601001,None
718,718,[170 -02] 39030,N Cicero Ave And W Lawrence Ave,2018-2022,N Cicero Ave And W Lawrence Ave,None,"[41.968033, -87.7477398]",None,170311204003,None
719,719,[170 -02] 39561,On E 96th St From S Houston Ave To S Marquette Ave,2018-2022,E 96th St And S Houston Ave,E 96th St And S Marquette Ave,"[41.720949, -87.549677]","[41.720853, -87.55798]",170315101001,170315102001
720,720,[170 -02] 39567,On N Northwest Hwy From N Oshkosh Ave To N Ozark Ave,2018-2022,N Northwest Hwy And N Oshkosh Ave,N Northwest Hwy And N Ozark Ave,"[42.003461, -87.817251]","[42.005239, -87.820042]",170310902004,170310902004
721,721,[170 -02] 39567,On N Ozark Ave From N Northwest Hwy To N Olmsted Ave,2018-2022,N Ozark Ave And N Northwest Hwy,N Ozark Ave And N Olmsted Ave,"[42.005239, -87.820042]","[42.004355, -87.820983]",170310902004,170310902004
722,722,[170 -02] 39567,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,2018-2022,N Olympia Ave And N Oketo Ave,N Olympia Ave And N Northwest Hwy,"[42.0040192, -87.8115569]","[42.0016132, -87.8143258]",170310902002,170310902003
723,723,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2018-2022,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave,"[42.0042105, -87.8145861]","[42.0046664002569, -87.7091167000092]",170310902004,170310203012
724,724,[170 -02] 39568,On S Normal Ave From W 35th St To W Pershing Rd,2018-2022,S Normal Ave And W 35th St,S Normal Ave And W Pershing Rd,"[41.830874, -87.638813]","[41.823626, -87.638618]",170318400001,170318400002
725,725,[170 -02] 39568,On W 37th St From S Parnell Ave To S Normal Ave,2018-2022,W 37th St And S Parnell Ave,W 37th St And S Normal Ave,"[41.8272, -87.6399273]","[41.827212, -87.6387042]",170318399003,170318400002
726,726,[170 -02] 39575,W Lawrence Ave And N Cicero Ave,2018-2022,W Lawrence Ave And N Cicero Ave,None,"[41.968033, -87.7477398]",None,170311204003,None
727,727,[170 -02] 40123,On N Leamington Ave From W Ferdinand St To W Ohio St,2018-2022,N Leamington Ave And W Ferdinand St,N Leamington Ave And W Ohio St,"[41.889344, -87.754162]","[41.891345, -87.754243]",170312516003,170312516003
728,728,[170 -02] 40131,On S Troy St From W Jackson Blvd To W Fifth Ave,2018-2022,S Troy St And W Jackson Blvd,S Troy St And W Fifth Ave,"[41.877358, -87.704825]","[41.87867, -87.705065]",170312712001,170312712001
729,729,[170 -02] 40131,On W Jackson Blvd From S Kedzie Ave To S Albany Ave,2018-2022,W Jackson Blvd And S Kedzie Ave,W Jackson Blvd And S Albany Ave,"[41.877346, -87.70604]","[41.877366, -87.703584]",170312713001,170312712001
730,730,[170 -02] 40131,On W Fifth Ave From S Troy St To S Albany Ave,2018-2022,W Fifth Ave And S Troy St,W Fifth Ave And S Albany Ave,"[41.87867, -87.705065]","[41.878998, -87.703838]",170312712001,170312712001
731,731,[170 -02] 40133,On N Paulina St From W Farragut Ave To W Berwyn Ave,2018-2022,N Paulina St And W Farragut Ave,N Paulina St And W Berwyn Ave,"[41.977009, -87.672105]","[41.9779685, -87.6721169]",170310309004,170310309003
732,732,[170 -02] 40133,On W Farragut Ave From N Ravenswood Ave To N Paulina St,2018-2022,W Farragut Ave And N Ravenswood Ave,W Farragut Ave And N Paulina St,"[41.977038, -87.675055]","[41.977009, -87.672105]",170310401001,170310309004
733,733,[170 -02] 40133,W Berwyn Ave And N Paulina St,2018-2022,W Berwyn Ave And N Paulina St,None,"[41.9779685, -87.6721169]",None,170310309003,None
734,734,[170 -02] 40133,On N Ravenswood Ave From W Balmoral Ave To W Farragut Ave,2018-2022,N Ravenswood Ave And W Balmoral Ave,N Ravenswood Ave And W Farragut Ave,"[41.9797461, -87.6744975]","[41.977038, -87.675055]",170310401001,170310401001
735,735,[170 -02] 40133,On W Winona St From N Winchester Ave To N Wolcott Ave,2018-2022,W Winona St And N Winchester Ave,W Winona St And N Wolcott Ave,"[41.974725, -87.67784]","[41.974756, -87.676411]",170310404021,170310404021
736,736,[170 -02] 40413,E 95th St And S Torrence Ave,2018-2022,E 95th St And S Torrence Ave,None,"[41.72255115, -87.55989654999999]",None,170315102001,None
737,737,[170 -02] 40566,Ashe Cps - 8505 S Ingleside Ave,2018-2022,8505 S Ingleside Ave,None,"[41.739684, -87.600921]",None,170314401021,None
738,738,[170 -02] 40566,Cook Cps - 8150 S Bishop St,2018-2022,8150 S Bishop St,None,"[41.745817, -87.659987]",None,170317106001,None
739,739,[170 -02] 40566,Davis N Cps - 3014 W 39th Pl,2018-2022,3014 W 39th Pl,None,"[41.822182, -87.700325]",None,170315805011,None
740,740,[170 -02] 40566,Field Cps - 7019 N Ashland Blvd,2018-2022,7019 N Ashland Blvd,None,"[42.009579, -87.669164]",None,170310106004,None
741,741,[170 -02] 40566,Gunsaulus Cps - 4420 S Sacramento Ave,2018-2022,4420 S Sacramento Ave,None,"[41.812657, -87.699923]",None,170315805022,None
742,742,[170 -02] 40566,Leland Cps - 5221 W Congress Pkwy,2018-2022,5221 W Congress Pkwy,None,"[41.8740797, -87.7556493]",None,170312521023,None
743,743,[170 -02] 40566,Morton Cps - 431 N Troy St,2018-2022,431 N Troy St,None,"[41.88911, -87.704767]",None,170318367002,None
744,744,[170 -02] 40566,Orozco Cps - 1940 W 18th St,2018-2022,1940 W 18th St,None,"[41.857974, -87.675315]",None,170313109001,None
745,745,[170 -02] 40566,Wadsworth Cps - 6420 S University Ave,2018-2022,6420 S University Ave,None,"[41.7782573, -87.5982501]",None,170318344001,None
746,746,[170 -02] 40566,Westcott Cps - 409 W 80th St,2018-2022,409 W 80th St,None,"[41.748682, -87.635511]",None,170318424003,None
747,747,[170 -02] 40566,Cather Cps - 2908 W Washington Blvd,2018-2022,2908 W Washington Blvd,None,"[41.883334, -87.699704]",None,170318371002,None
748,748,[170 -02] 40566,Corkery Cps - 2510 S Kildare Ave,2018-2022,2510 S Kildare Ave,None,"[41.845526, -87.732136]",None,170313018012,None
749,749,[170 -02] 40566,Fernwood Cps - 10041 S Union Ave,2018-2022,10041 S Union Ave,None,"[41.711018, -87.640224]",None,170317305003,None
750,750,[170 -02] 40566,Grissom Cps - 12810 S Escanaba Ave,2018-2022,12810 S Escanaba Ave,None,"[41.662444, -87.553587]",None,170315502001,None
751,751,[170 -02] 40566,Heroes Cps - 8344 S Commercial Ave,2018-2022,8344 S Commercial Ave,None,"[41.744161, -87.553038]",None,170314603023,None
752,752,[170 -02] 40566,Morrill Cps - 6011 S Rockwell St,2018-2022,6011 S Rockwell St,None,"[41.784037, -87.6883]",None,170318350005,None
753,753,[170 -02] 40566,Nash Cps - 4837 W Erie St,2018-2022,4837 W Erie St,None,"[41.891799, -87.747106]",None,170312517001,None
754,754,[170 -02] 40566,Schmid Cps - 9755 S Greenwood Ave,2018-2022,9755 S Greenwood Ave,None,"[41.7171145, -87.5965846]",None,170315001002,None
755,755,[170 -02] 40566,Webster Cps - 4055 W Arthington St,2018-2022,4055 W Arthington St,None,"[41.869749, -87.727279]",None,170312610002,None
756,756,[170 -02] 40700,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,2018-2022,N Hiawatha Ave And W Peterson Ave,N Hiawatha Ave And N Forest Glen Avee,"[41.990087200000005, -87.7420321]","[41.9902461, -87.742291]",170311203004,170311203005
757,757,[170 -02] 40700,On N Monitor Ave From N Indian Rd To W Peterson Ave,2018-2022,N Monitor Ave And N Indian Rd,N Monitor Ave And W Peterson Ave,"[41.9920448, -87.7741925]","[41.9901988, -87.7742376]",170311101005,170311101004
758,758,[170 -02] 40700,On N Oriole Ave From W Jarvis Ave To W Birchwood Ave,2018-2022,N Oriole Ave And W Jarvis Ave,N Oriole Ave And W Birchwood Ave,"[42.015095, -87.8163764]","[42.016936, -87.816354]",170310901003,170310901004
759,759,[170 -02] 40700,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,2018-2022,N Overhill Ave And W Jarvis Ave,N Overhill Ave And W Sherwin Ave,"[42.0150532, -87.8187831]","[42.0141385, -87.8188146]",170310901004,170310901003
760,760,[170 -02] 40700,On W Devon Ave From N Spokane Ave To N Caldwell Ave,2018-2022,W Devon Ave And N Spokane Ave,W Devon Ave And N Caldwell Ave,"[41.997336, -87.760727]","[41.997316, -87.766935]",170311202002,170311201003
761,761,[170 -02] 40700,On W Peterson Ave From N Monitor Ave To N Austin Ave,2018-2022,W Peterson Ave And N Monitor Ave,W Peterson Ave And N Austin Ave,"[41.9901988, -87.7742376]","[41.9901834, -87.7779227]",170311101004,170311001002
762,762,[170 -02] 40700,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,2018-2022,N Leoti Ave And N Le Mai Ave,N Leoti Ave And N Spokane Ave,"[41.9954399, -87.7580216]","[41.9968845, -87.7611487]",170311202003,170311202002
763,763,[170 -02] 40700,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,2018-2022,N Octavia Ave And W Jarvis Ave,N Octavia Ave And W Birchwood Ave,"[42.0152903, -87.8090486]","[42.017087, -87.809024]",170310901001,170310901001
764,764,[170 -02] 40700,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,2018-2022,N Ottawa Ave And W Jarvis Ave,N Ottawa Ave And W Chase Ave,"[42.0150712, -87.8175616]","[42.013273, -87.817587]",170310901003,170310901003
765,765,[170 -02] 40700,On N Spokane Ave From N Leoti Ave To W Devon Ave,2018-2022,N Spokane Ave And N Leoti Ave,N Spokane Ave And W Devon Ave,"[41.9968845, -87.7611487]","[41.997336, -87.760727]",170311202002,170311202002
766,766,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2018-2022,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave,"[42.0160414000167, -87.6692769000023]","[42.0150532, -87.8187831]",170310103004,170310901004
767,767,[170 -02] 40700,W Peterson Ave And N Kilbourn Ave,2018-2022,W Peterson Ave And N Kilbourn Ave,None,"[41.9899364, -87.7408]",None,170311203005,None
768,768,[170 -02] 40717,On S Damen Ave From W 100th St To W 101st St,2018-2022,S Damen Ave And W 100th St,S Damen Ave And W 101st St,"[41.7120138, -87.6721251]","[41.710202, -87.6720715]",170317203001,170317203001
769,769,[170 -02] 40717,On S Seeley Ave From W 101st St To W 101st Pl,2018-2022,S Seeley Ave And W 101st St,S Seeley Ave And W 101st Pl,"[41.7101644, -87.6736224]","[41.7090229, -87.6737223]",170317203001,170317203003
770,770,[170 -02] 40717,On W 116th St From S Western Ave To S Maplewood Ave,2018-2022,W 116th St And S Western Ave,W 116th St And S Maplewood Ave,"[41.682726, -87.680803]","[41.6826856, -87.684571]",170317505002,170317504003
771,771,[170 -02] 40717,S Seeley Ave And W 101st St,2018-2022,S Seeley Ave And W 101st St,None,"[41.7101644, -87.6736224]",None,170317203001,None
772,772,[170 -02] 40717,On S Leavitt St From W 101st St To W 102nd St,2018-2022,S Leavitt St And W 101st St,S Leavitt St And W 102nd St,"[41.7100922, -87.6768799]","[41.708256, -87.676869]",170317203003,170317203003
773,773,[170 -02] 40717,On W 101st St From S Damen Ave To S Bell Ave,2018-2022,W 101st St And S Damen Ave,W 101st St And S Bell Ave,"[41.710202, -87.6720715]","[41.7100561, -87.6785154]",170317203001,170317203003
774,774,[170 -02] 40717,On W 118th St From S Western Ave To S Maplewood Ave,2018-2022,W 118th St And S Western Ave,W 118th St And S Maplewood Ave,"[41.678958, -87.680693]","[41.6790503, -87.6844434]",170317505002,170317504003
775,775,[170 -02] 40718,On E 61st St From S Langley Ave To S Rhodes Ave,2018-2022,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]",170314205001,170314206002
776,776,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave,2018-2022,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
777,777,[170 -02] 40718,On S Drexel Ave From E 65th St To E 64th St,2018-2022,S Drexel Ave And E 65th St,S Drexel Ave And E 64th St,"[41.776781, -87.603422]","[41.7786283, -87.602847]",170314208002,170314208001
778,778,[170 -02] 40718,On S Kingston Ave From E 74th St To E 75th St,2018-2022,S Kingston Ave And E 74th St,S Kingston Ave And E 75th St,"[41.76086, -87.563224]","[41.759041, -87.56274]",170314313021,170314313021
779,779,[170 -02] 40718,850-910 E 64th St,2018-2022,850 E 64th St,910 E 64th St,"[41.77867169366854, -87.60366619430624]","[41.77867477640572, -87.60308753185411]",170314208001,170314208001
780,780,[170 -02] 40718,On E 72nd St From S Phillips Ave To S Exchange Ave,2018-2022,E 72nd St And S Phillips Ave,E 72nd St And S Exchange Ave,"[41.764439, -87.565772]","[41.764481, -87.565161]",170314307002,170314307002
781,781,[170 -02] 40718,On S Colfax Ave From E 74th St To E 75th St,2018-2022,S Colfax Ave And E 74th St,S Colfax Ave And E 75th St,"[41.760847, -87.562493]","[41.7590531, -87.5615821]",170314313021,170314313021
782,782,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St,2018-2022,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St,"[41.776809, -87.601612]","[41.88322830200195, -87.63240051269531]",170314208002,170318391001
783,783,[170 -02] 40718,On S Phillips Ave From E 73rd St To E 72nd St,2018-2022,S Phillips Ave And E 73rd St,S Phillips Ave And E 72nd St,"[41.762641, -87.564909]","[41.764439, -87.565772]",170314307002,170314307002
784,784,[170 -02] 40773,On N Allen Ave From N Kimball Ave To N Milwaukee Ave,2018-2022,N Allen Ave And N Kimball Ave,N Allen Ave And N Milwaukee Ave,"[41.936658, -87.712395]","[41.9339097, -87.7152885]",170312106012,170312106023
785,785,[170 -02] 40773,On N Elbridge Ave From W Barry Ave To N Drake Ave,2018-2022,N Elbridge Ave And W Barry Ave,N Elbridge Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.9363659, -87.7157343]",170312106013,170312106013
786,786,[170 -02] 40773,On W Barry Ave From N Bernard St To N Elbridge Ave,2018-2022,W Barry Ave And N Bernard St,W Barry Ave And N Elbridge Ave,"[41.937466, -87.713664]","[41.9374432, -87.7145293]",170312106013,170312106013
787,787,[170 -02] 40773,On W Barry Ave From N Elbridge Ave To N Drake Ave,2018-2022,W Barry Ave And N Elbridge Ave,W Barry Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.937429, -87.716124]",170312106013,170312106013
788,788,[170 -02] 40773,N Lavergne Ave And W Cornelia Ave,2018-2022,N Lavergne Ave And W Cornelia Ave,None,"[41.9442274, -87.7519564]",None,170311510011,None
789,789,[170 -02] 40773,On N Bernard St From W Belmont Ave To W Barry Ave,2018-2022,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]",170318311001,170312106013
790,790,[170 -02] 40773,On N Kilbourn Ave From W Diversey Ave To W Parker Ave,2018-2022,N Kilbourn Ave And W Diversey Ave,N Kilbourn Ave And W Parker Ave,"[41.931657, -87.739232]","[41.930639, -87.739201]",170312001003,170312002004
791,791,[170 -02] 40773,On W Barry Ave From N Bernard St To N Gresham Ave,2018-2022,W Barry Ave And N Bernard St,W Barry Ave And N Gresham Ave,"[41.937466, -87.713664]","[41.937471, -87.712972]",170312106013,170312106013
792,792,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave,2018-2022,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave,"[41.88322830200195, -87.63240051269531]","[41.88322830200195, -87.63240051269531]",170318391001,170318391001
793,793,[170 -02] 40774,On E 92nd St From S Cottage Grove Ave To S St Lawrence Ave,2018-2022,E 92nd St And S Cottage Grove Ave,E 92nd St And S St Lawrence Ave,"[41.727528, -87.604529]","[41.7274443, -87.6094247]",170314408002,170314409002
794,794,[170 -02] 40774,On E 96th St From S Avalon Ave To S Woodlawn Ave,2018-2022,E 96th St And S Avalon Ave,E 96th St And S Woodlawn Ave,"[41.720361, -87.593497]","[41.720347, -87.594743]",170315001001,170315001001
795,795,[170 -02] 40774,E 92nd St And S St Lawrence Ave,2018-2022,E 92nd St And S St Lawrence Ave,None,"[41.7274443, -87.6094247]",None,170314409002,None
796,796,[170 -02] 40774,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave,2018-2022,E 94th St And S Dr Martin Luther King Jr Dr,E 94th St And S Wabash Ave,"[41.723716, -87.614201]","[41.723573, -87.62227]",170314903001,170314903002
797,797,[170 -02] 40774,On S Avalon Ave From E 97th St To E 96th St,2018-2022,S Avalon Ave And E 97th St,S Avalon Ave And E 96th St,"[41.718661, -87.593441]","[41.720361, -87.593497]",170315001002,170315001001
798,798,[170 -02] 40774,E 95th St And S Cottage Grove Ave,2018-2022,E 95th St And S Cottage Grove Ave,None,"[41.722017, -87.603243]",None,170314905001,None
799,799,[170 -02] 40775,On S Ada St From W 79th St To W 77th St,2018-2022,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]",170317107001,170317102005
800,800,[170 -02] 40775,On W 77th St From S Ada St To S Loomis Blvd,2018-2022,W 77th St And S Ada St,W 77th St And S Loomis Blvd,"[41.754078, -87.657062]","[41.754071, -87.658693]",170317102005,170317103001
801,801,[170 -02] 40775,On W 77th St From S Loomis Blvd To S Bishop St,2018-2022,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]",170317103001,170317103001
802,802,[170 -02] 40775,On W 86th St From S Bishop St To S Laflin St,2018-2022,W 86th St And S Bishop St,W 86th St And S Laflin St,"[41.737652, -87.659468]","[41.737643, -87.660691]",170317111002,170317111003
803,803,[170 -02] 40775,On W 86th St From S Elizabeth St To S Throop St,2018-2022,W 86th St And S Elizabeth St,W 86th St And S Throop St,"[41.737724, -87.654607]","[41.737705, -87.655834]",170317111002,170317111002
804,804,[170 -02] 40775,On W 86th St From S Racine Ave To S Elizabeth St,2018-2022,W 86th St And S Racine Ave,W 86th St And S Elizabeth St,"[41.737744, -87.653399]","[41.737724, -87.654607]",170317111002,170317111002
805,805,[170 -02] 40775,On S Bishop St From W 85th St To W 86th St,2018-2022,S Bishop St And W 85th St,S Bishop St And W 86th St,"[41.739474, -87.659503]","[41.737652, -87.659468]",170317111002,170317111002
806,806,[170 -02] 40775,On W 77th St From S Ada St To S Throop St,2018-2022,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]",170317102005,170317102005
807,807,[170 -02] 40775,On W 79th St From S Throop St To S Ada St,2018-2022,W 79th St And S Throop St,W 79th St And S Ada St,"[41.750456, -87.656167]","[41.750444, -87.656992]",170317107001,170317107001
808,808,[170 -02] 40775,On W 86th St From S Bishop St To S Loomis Blvd,2018-2022,W 86th St And S Bishop St,W 86th St And S Loomis Blvd,"[41.737652, -87.659468]","[41.737675, -87.658266]",170317111002,170317111002
809,809,[170 -02] 40775,On W 86th St From S Laflin St To S Justine St,2018-2022,W 86th St And S Laflin St,W 86th St And S Justine St,"[41.737643, -87.660691]","[41.737632, -87.661916]",170317111003,170317111003
810,810,[170 -02] 40776,On E 80th St From S Evans Ave To S Vernon Ave,2018-2022,E 80th St And S Evans Ave,E 80th St And S Vernon Ave,"[41.749415, -87.606412]","[41.749307, -87.613657]",170314402011,170314402014
811,811,[170 -02] 40776,On E 82nd St From S Merrill Ave To S Jeffery Blvd,2018-2022,E 82nd St And S Merrill Ave,E 82nd St And S Jeffery Blvd,"[41.74619, -87.572284]","[41.746149, -87.57589]",170314605004,170314605005
812,812,[170 -02] 40777,On N Leavitt St From W Lawrence Ave To W Leland Ave,2018-2022,N Leavitt St And W Lawrence Ave,N Leavitt St And W Leland Ave,"[41.9687233, -87.6840165]","[41.9668657, -87.6839924]",170310404014,170310406003
813,813,[170 -02] 40777,N Seeley Ave And W Birchwood Ave,2018-2022,N Seeley Ave And W Birchwood Ave,None,"[42.0179649, -87.681673]",None,170310102012,None
814,814,[170 -02] 40777,On W Hollywood Ave From N Lincoln Ave To N Rockwell Ave,2018-2022,W Hollywood Ave And N Lincoln Ave,W Hollywood Ave And N Rockwell Ave,"[41.9851257, -87.69908845]","[41.984959, -87.69435]",170310208013,170310208011
815,815,[170 -02] 40778,On E 101st St From S Avenue M To S Avenue L,2018-2022,E 101st St And S Avenue M,E 101st St And S Avenue L,"[41.711963, -87.537701]","[41.711966, -87.536459]",170315202003,170315202003
816,816,[170 -02] 40778,On E 104th St From S Avenue O To S Avenue E,2018-2022,E 104th St And S Avenue O,E 104th St And S Avenue E,"[41.706372, -87.540135]","[41.70638, -87.529201]",170315203001,170315204001
817,817,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St,2018-2022,S Avenue G And E 106th St,S Avenue G And E 103rd St,"[41.702709, -87.531663]","[41.708218, -87.531673]",170315204003,170315204004
818,818,[170 -02] 40778,On E 101st St From S Avenue N To S Avenue M,2018-2022,E 101st St And S Avenue N,E 101st St And S Avenue M,"[41.711957, -87.53892]","[41.711963, -87.537701]",170315202002,170315202003
819,819,[170 -02] 40778,On S Avenue F From E 104th St To E 105th St,2018-2022,S Avenue F And E 104th St,S Avenue F And E 105th St,"[41.706381, -87.530417]","[41.704545, -87.530453]",170315204001,170315204001
820,820,[170 -02] 40778,E 101st St And S Ewing Ave,2018-2022,E 101st St And S Ewing Ave,None,"[41.711966, -87.535283]",None,170315202002,None
821,821,[170 -02] 40779,On S Perry Ave From W 112th St To W 113th St,2018-2022,S Perry Ave And W 112th St,S Perry Ave And W 113th St,"[41.69074, -87.625784]","[41.688915, -87.625728]",170314913001,170314913002
822,822,[170 -02] 40779,On W 113th Pl From S Wentworth Ave To S Perry Ave,2018-2022,W 113th Pl And S Wentworth Ave,W 113th Pl And S Perry Ave,"[41.687974, -87.627781]","[41.6880192, -87.6256916]",170314913003,170314913002
823,823,[170 -02] 40779,On W 128th Pl From S Halsted St To S Emerald Ave,2018-2022,W 128th Pl And S Halsted St,W 128th Pl And S Emerald Ave,"[41.660454, -87.64127]","[41.660472, -87.640121]",170315305031,170315305031
824,824,[170 -02] 40779,On W 128th Pl From S Lowe Ave To S Wallace St,2018-2022,W 128th Pl And S Lowe Ave,W 128th Pl And S Wallace St,"[41.660502, -87.637744]","[41.66053, -87.636544]",170315305031,170315305031
825,825,[170 -02] 40779,On W 112th Pl From S Perry Ave To S State St,2018-2022,W 112th Pl And S Perry Ave,W 112th Pl And S State St,"[41.689832, -87.62575]","[41.689868, -87.623033]",170314913001,170314913001
826,826,[170 -02] 40779,On W 128th Pl From S Emerald Ave To S Lowe Ave,2018-2022,W 128th Pl And S Emerald Ave,W 128th Pl And S Lowe Ave,"[41.660472, -87.640121]","[41.660502, -87.637744]",170315305031,170315305031
827,827,[170 -02] 40779,On W 128th Pl From S Halsted St To S Peoria St,2018-2022,W 128th Pl And S Halsted St,W 128th Pl And S Peoria St,"[41.660454, -87.64127]","[41.660452, -87.643757]",170315305031,170315305031
828,828,[170 -02] 40779,S Halsted St And W 128th Pl,2018-2022,S Halsted St And W 128th Pl,None,"[41.660451, -87.641405]",None,170315305031,None
829,829,[170 -02] 40780,On S Central Park Ave From W 86th St To W 87th St,2018-2022,S Central Park Ave And W 86th St,S Central Park Ave And W 87th St,"[41.736856, -87.712018]","[41.7350905, -87.7119964]",170317004022,170317004022
830,830,[170 -02] 40780,On S Lawndale Ave From W 85th St To W 86th St,2018-2022,S Lawndale Ave And W 85th St,S Lawndale Ave And W 86th St,"[41.738645, -87.714255]","[41.736818, -87.714204]",170317004022,170317004022
831,831,[170 -02] 40780,On W 68th St From S Kolmar Ave To S Kilbourn Ave,2018-2022,W 68th St And S Kolmar Ave,W 68th St And S Kilbourn Ave,"[41.7694367, -87.7357373]","[41.769383, -87.734713]",170316505003,170316505003
832,832,[170 -02] 40780,W 85th St And S Lawndale Ave,2018-2022,W 85th St And S Lawndale Ave,None,"[41.738645, -87.714255]",None,170317004022,None
833,833,[170 -02] 40780,On S Kolmar Ave From W Marquette Rd To W 68th St,2018-2022,S Kolmar Ave And W Marquette Rd,S Kolmar Ave And W 68th St,"[41.771199, -87.736005]","[41.7694367, -87.7357373]",170316505003,170316505003
834,834,[170 -02] 40780,On W 60th St From S Monitor Ave To S Mason Ave,2018-2022,W 60th St And S Monitor Ave,W 60th St And S Mason Ave,"[41.783434, -87.7680205]","[41.783426, -87.770468]",170316403004,170316403004
835,835,[170 -02] 40780,On W 86th St From S Lawndale Ave To S Central Park Ave,2018-2022,W 86th St And S Lawndale Ave,W 86th St And S Central Park Ave,"[41.736818, -87.714204]","[41.736856, -87.712018]",170317004022,170317004022
836,836,[170 -02] 41000,On E 85th St From S Indiana Ave To S St Lawrence Ave,2018-2022,E 85th St And S Indiana Ave,E 85th St And S St Lawrence Ave,"[41.7400879, -87.6195382]","[41.7402392, -87.6097909]",170314403003,170314402023
837,837,[170 -02] 41000,On E 96th St From S Houston Ave To S Commercial Ave,2018-2022,E 96th St And S Houston Ave,E 96th St And S Commercial Ave,"[41.720949, -87.549677]","[41.720915, -87.551064]",170315101001,170315101001
838,838,[170 -02] 41000,On E 87th St From S State St To S Wabash Ave,2018-2022,E 87th St And S State St,E 87th St And S Wabash Ave,"[41.736224, -87.624194]","[41.736379, -87.622622]",170318424002,170314403001
839,839,[170 -02] 41001,E 71st St And S Jeffery Blvd,2018-2022,E 71st St And S Jeffery Blvd,None,"[41.76623, -87.576308]",None,170314302002,None
840,840,[170 -02] 41002,On W 72nd St From S Avers Ave To S Hamlin Ave,2018-2022,W 72nd St And S Avers Ave,W 72nd St And S Hamlin Ave,"[41.7623251, -87.7186716]","[41.7623478, -87.7174553]",170316504004,170316504004
