,Project_#,Project_Title,Start_Date,End_Date
80,[170 -02] 39563,54th St./Homan Ave./Christiana Ave.,Jan-17,Jun-17
81,[170 -02] 39564,E. 80th St./Evans/Vernon,Feb-17,Jun-17
82,[170 -02] 39567,Pratt/Oshkosh/Northwest Hwy/Ozark,Feb-18,Apr-18
83,[170 -02] 39568,Normal Avenue,Apr-17,Oct-17
84,[170 -02] 39569,W. 85th St. & S. Lawndale,Jan-17,Oct-17
85,[170 -02] 39570,E. 114th St/114th Pl./S. Forest Av.,Feb-18,Jun-18
86,[170 -02] 39575,W. Lawrence Av. - N. Cicero Ave. to N. Cicero Ave.,Apr-18,Aug-18
87,[170 -02] 39578,2019 In-House Construction,Jan-19,Dec-19
88,[170 -02] 39680,W. Peterson Av./N. Monitor Av.,Jun-17,Dec-17
89,[170 -02] 39681,61st St. Langley to Rhodes,Feb-17,Mar-17
90,[170 -02] 39698,"Birchwood Ave., Howard St./Chase Ave./Seeley Ave.",Jan-17,Aug-17
91,[170 -02] 39704,S. Kolmar & W. 68th St.,May-17,Sep-17
92,[170 -02] 39705,S. Woodlawn Ave.,Mar-17,Jun-17
93,[170 -02] 39706,S. Archer Ave.; Rockwell to Sacramento,Mar-20,Aug-20
94,[170 -02] 39707,W. 46th Street Improvements,Mar-16,Jan-17
95,[170 -02] 39722,2019 Ancillary Sewer Construction,Jan-19,Dec-19
96,[170 -02] 39723,2019 In House Restoration,Jan-19,Dec-19
97,[170 -02] 39734,2019 Sewer Construction Management,Jan-19,Dec-19
98,[170 -02] 39736,2019 Design Services,Jan-19,Dec-19
99,[170 -02] 39737,2019 Sewer Modeling,Jan-19,Dec-19
100,[170 -02] 39738,2019 DWM PMO  Services,Jan-19,Dec-19
101,[170 -02] 39740,2019 CDOT - QA,Dec-19,Dec-19
102,[170 -02] 39745,2019 CDOT - DEO,Jan-19,Dec-19
103,[170 -02] 39897,2019 - Green Infrastructure Improvements,Jan-19,Dec-19
104,[170 -02] 40110,2020 In-House Construction,Jan-20,Dec-20
105,[170 -02] 40123,Lotus/Chicago/Ohio/Race/Leamington/Leclaire/L,Mar-17,Sep-17
106,[170 -02] 40124,E. 94th St. - ML King Dr. to S. State St.,Mar-17,Sep-17
107,[170 -02] 40125,W. Eddy St./W. Cornelia/W. Newport,Mar-17,Jun-17
108,[170 -02] 40128,W. Gunnison St./W. Argyle St.,Jan-18,Dec-18
109,[170 -02] 40129,Kenton-East of RR-Fullerton - to Parker,Mar-17,Sep-17
110,[170 -02] 40131,Fifth  Ave.,Jan-18,Dec-18
111,[170 -02] 40132,W. 61st St. - S. Major Av. to S. Mason Av./62nd St.,Sep-17,Dec-17
112,[170 -02] 40133,Ravenswood,Jan-18,Dec-18
113,[170 -02] 40134,Ozanam and Balmoral Relief Sewer,Jan-18,Dec-18
114,[170 -02] 40135,77th and Ada,Feb-17,Oct-17
115,[170 -02] 40139,Baltimore Ave./131st St./Burley Av./132nd St.,Jan-19,Jun-19
116,[170 -02] 40140,Wrightwood/Clark,Mar-19,Sep-19
117,[170 -02] 40141,N. Central Park Improvements,Mar-19,Sep-19
118,[170 -02] 40142,Clark St. - 9th St. to Polk St.,Mar-19,Sep-19
119,[170 -02] 40143,Racine & Wrightwood,Mar-19,Sep-19
120,[170 -02] 40145,W. 72nd St. - Emerald to Eggleston,Mar-19,Sep-19
121,[170 -02] 40146,Dorchester/Kimbark,Mar-19,Sep-19
122,[170 -02] 40223,CDOT Alley West of Longwood W. 110th Pl.,Nov-16,Dec-16
123,[170 -02] 40247,Drexel / 64th,Mar-17,Sep-17
124,[170 -02] 40273,2016 IH Capitalized Equipment,Jan-16,Dec-16
125,[170 -02] 40376,2020 Ancillary Sewer Construction,Jan-20,Dec-20
126,[170 -02] 40377,2020 In-House Restoration,Jan-20,Dec-20
127,[170 -02] 40378,2020 In-House Capitalized Labor/Equip.,Jan-20,Dec-20
128,[170 -02] 40380,2020 Various Projects (PC),Jan-20,Dec-20
129,[170 -02] 40382,2020 Construction Management,Jan-20,Dec-20
130,[170 -02] 40383,2020 Design Services,Jan-20,Dec-20
131,[170 -02] 40384,2020 Sewer Modeling,Jan-20,Dec-20
132,[170 -02] 40385,2020 DWM PMO Services,Jan-20,Dec-20
133,[170 -02] 40386,2020 CDOT - DEO,Jan-20,Dec-20
134,[170 -02] 40389,2020 CDOT - QA,Jan-20,Dec-20
135,[170 -02] 40391,2019-2020 Regional Solution - Area XX,Jan-20,Dec-20
136,[170 -02] 40413,2016-2020 Regional Solution - Area 4,Dec-16,Dec-19
137,[170 -02] 40451,2016-2017-Sewer GIS Data Review & Full Pipe Model Development,Jan-16,Dec-17
138,[170 -02] 40454,2017 In-House Capitalized Labor/Equip.,Jan-17,Dec-17
139,[170 -02] 40455,2018 In-House Capitalized Labor/Equip.,Jan-18,Dec-18
140,[170 -02] 40456,2019 In-House Capitalized Labor/Equip.,Jan-19,Dec-19
141,[170 -02] 40460,Additional 2016 Various Projects (PC),Jan-16,Dec-16
142,[170 -02] 40461,Additional PC Projects,Jan-17,Dec-19
143,[170 -02] 40462,2017 WPA Streets/Green Initiatives,Jan-17,Dec-17
